motion_id,item_id,motion_text,proposed_by,seconded_by,outcome,vote_yes,vote_no,vote_abstain,created_at
58,89,"Appointed Michael Sheeley as Vice Chairman. A motion to approve the consent agenda was made and duly passed. 6. PUBLIC INFORMATION (a) Aldi - Development Order (Pending Submittal) (District 5) Located east of Stoneybrook Golf Drive and south of Corkscrew Road. Applicant proposes to develop a ± 22,000 square foot grocery store",,,"Appointed Michael Sheeley as Vice Chairman. A motion to approve the consent agenda was made and duly passed. 6. PUBLIC INFORMATION (a) Aldi - Development Order (Pending Submittal) (District 5) Located east of Stoneybrook Golf Drive and south of Corkscrew Road. Applicant proposes to develop a ± 22,000 square foot grocery store",,,,
59,90,Approved revision to Development Order to remove the stone at the base of the building and clarify the color of Utterly Beige for the base,,,Approved revision to Development Order to remove the stone at the base of the building and clarify the color of Utterly Beige for the base,8,0,1,
60,91,Approved Limited Development Order,,,Approved Limited Development Order,8,0,4,
61,92,"Approved a continuance until November 12, 2024 meeting",,,"Approved a continuance until November 12, 2024 meeting",6,0,2,
62,93,Approved the Development Order with staff stipulation and with added landscaping on the North side,,,Approved the Development Order with staff stipulation and with added landscaping on the North side,8,0,1,
63,94,Approved recommendation not to approve Ordinance 2024-10 and to provide Planning Zoning and Design Board comments to Council,,,Approved recommendation not to approve Ordinance 2024-10 and to provide Planning Zoning and Design Board comments to Council,8,0,1,
64,95,Approved Development Order with the staff conditions and the requested deviations,,,Approved Development Order with the staff conditions and the requested deviations,8,0,4,
65,99,Approved Development Order with the staff conditions,,,Approved Development Order with the staff conditions,8,0,3,
66,100,Approved Limited Development Order with the staff conditions and the requested deviations,,,Approved Limited Development Order with the staff conditions and the requested deviations,8,0,1,
67,101,"Approved Development Order with the following conditions: darker colors for the accent color instead of the latte, remove the vines, the monument sign would be simpler design with a three foot base, staff stipulation which was about connecting to sewer when it's available, and a zoning condition to do an inspection before to make sure the septic tank is working",,,"Approved Development Order with the following conditions: darker colors for the accent color instead of the latte, remove the vines, the monument sign would be simpler design with a three foot base, staff stipulation which was about connecting to sewer when it's available, and a zoning condition to do an inspection before to make sure the septic tank is working",8,0,1,
68,102,Approved Development Order with the staff conditions and additional stipulation on the easement,,,Approved Development Order with the staff conditions and additional stipulation on the easement,8,0,3,
69,103,Approved the Walmart expansion and consideration by Walmart to reroute their trucks off US 41,,,Approved the Walmart expansion and consideration by Walmart to reroute their trucks off US 41,8,0,2,
70,104,Approved recommendation to Council to approve zoning and DRI amendment based on the staff report,,,Approved recommendation to Council to approve zoning and DRI amendment based on the staff report,7,1,1,
71,105,Approved the agenda with 6 (b) removed and will be rescheduled for the April 8th meeting,,,Approved the agenda with 6 (b) removed and will be rescheduled for the April 8th meeting,5,0,10,
72,106,Approved exterior renovation at the entrance,,,Approved exterior renovation at the entrance,7,0,3,
73,107,Approved Development Order Amendment with the stipulations provided by staff,,,Approved Development Order Amendment with the stipulations provided by staff,5,0,1,
74,108,"Approved approve Minor Change with the stipulations the planters out front to be consistent with the trellis with a natural wood color, the spire will be placed on the top of the building, and the stipulations provided by staff",,,"Approved approve Minor Change with the stipulations the planters out front to be consistent with the trellis with a natural wood color, the spire will be placed on the top of the building, and the stipulations provided by staff",6,2,1,
75,111,Approved COP Administrative Amendment with stipulations provided by staff,,,Approved COP Administrative Amendment with stipulations provided by staff,4,0,8,
76,113,Approved the monument sign subject to further negotiations on the location,,,Approved the monument sign subject to further negotiations on the location,6,0,2,
77,114,"Approved Development Order with staff recommendations and the following conditions; applicant will work with staff to minimize the use of green screens and incorporate other architectural elements to break up the long walls and use of green screens where appropriate, and no deliveries earlier than 7 am and no later than 9 pm",,,"Approved Development Order with staff recommendations and the following conditions; applicant will work with staff to minimize the use of green screens and incorporate other architectural elements to break up the long walls and use of green screens where appropriate, and no deliveries earlier than 7 am and no later than 9 pm",7,0,6,
78,116,Approved the Development Order with staff stipulations,,,Approved the Development Order with staff stipulations,6,0,1,
79,117,Approved the Development Order with staff stipulations,,,Approved the Development Order with staff stipulations,7,0,2,
80,118,Approved the Development Order with staff stipulations and the additional conditions the contractor will try to retain the Heritage Tree and if it dies it will have to be replaced and the Village has drainage easement over the conveyance swale that conveys off-site,,,Approved the Development Order with staff stipulations and the additional conditions the contractor will try to retain the Heritage Tree and if it dies it will have to be replaced and the Village has drainage easement over the conveyance swale that conveys off-site,7,0,5,
81,119,Approved the Development Order with staff stipulations and the additional condition the applicant will install the Western perimeter wall and Western row of Sabal Palms within 120 days of commencement of the project,,,Approved the Development Order with staff stipulations and the additional condition the applicant will install the Western perimeter wall and Western row of Sabal Palms within 120 days of commencement of the project,6,0,2,
82,122,Approved request for outdoor consumption on premises with staff conditions,,,Approved request for outdoor consumption on premises with staff conditions,6,0,3,
83,124,Approved the Development Order with staff stipulations and the correction of the hours of operation,,,Approved the Development Order with staff stipulations and the correction of the hours of operation,6,0,2,
