filename,meeting_id,needs_ocr,reason
11162022 minutes.pdf,199,False,Review item 1120: weak or fallback extraction.
11172021 minutes.pdf,200,False,Review item 1121: weak or fallback extraction.
11172021 minutes.pdf,200,False,Review item 1122: weak or fallback extraction.
11172021 minutes.pdf,200,False,Review item 1123: weak or fallback extraction.
11172021 minutes.pdf,200,False,Review item 1124: weak or fallback extraction.
11172021 minutes.pdf,200,False,Review item 1125: weak or fallback extraction.
111815 Regular Meeting Approved Minutes.pdf,201,False,No agenda/action items extracted.
11182020 Council Meeting Minutes.pdf,202,False,Review item 1126: weak or fallback extraction.
11182020 Council Meeting Minutes.pdf,202,False,Review item 1127: weak or fallback extraction.
11182020 Council Meeting Minutes.pdf,202,False,Review item 1128: weak or fallback extraction.
11182020 Council Meeting Minutes.pdf,202,False,Review item 1129: weak or fallback extraction.
11182020 Council Meeting Minutes.pdf,202,False,Review item 1130: weak or fallback extraction.
11182020 Council Meeting Minutes.pdf,202,False,Review item 1131: weak or fallback extraction.
11192025.pdf,203,False,Review item 1132: weak or fallback extraction.
11192025.pdf,203,False,Review item 1133: weak or fallback extraction.
11192025.pdf,203,False,Review item 1134: weak or fallback extraction.
11192025.pdf,203,False,Review item 1135: weak or fallback extraction.
11192025.pdf,203,False,Review item 1136: weak or fallback extraction.
11192025.pdf,203,False,Review item 1137: weak or fallback extraction.
11192025.pdf,203,False,Review item 1138: weak or fallback extraction.
11192025.pdf,203,False,Review item 1139: weak or fallback extraction.
11202024 minutes.pdf,204,False,Review item 1140: weak or fallback extraction.
11202024 minutes.pdf,204,False,Review item 1141: weak or fallback extraction.
11202024 minutes.pdf,204,False,Review item 1142: weak or fallback extraction.
11202024 minutes.pdf,204,False,Review item 1143: weak or fallback extraction.
11202024 minutes.pdf,204,False,Review item 1144: weak or fallback extraction.
11202024 minutes.pdf,204,False,Review item 1145: weak or fallback extraction.
11202024 minutes.pdf,204,False,Review item 1146: weak or fallback extraction.
112315 Workshop Approved Minutes.pdf,205,False,No agenda/action items extracted.
112917 Council Comp Plan Workshop Approved Minutes.pdf,206,False,Review item 1147: weak or fallback extraction.
1182023 minutes.pdf,207,False,Review item 1148: weak or fallback extraction.
1182023 minutes.pdf,207,False,Review item 1149: weak or fallback extraction.
1182023 minutes.pdf,207,False,Review item 1150: weak or fallback extraction.
12012021 minutes.pdf,208,False,Review item 1151: weak or fallback extraction.
12012021 minutes.pdf,208,False,Review item 1152: weak or fallback extraction.
12012021 minutes.pdf,208,False,Review item 1153: weak or fallback extraction.
12022020 Council Meeting Minutes.pdf,210,False,Review item 1155: weak or fallback extraction.
12022020 Council Meeting Minutes.pdf,210,False,Review item 1156: weak or fallback extraction.
12022020 Council Meeting Minutes.pdf,210,False,Review item 1157: weak or fallback extraction.
12022020 Council Meeting Minutes.pdf,210,False,Review item 1158: weak or fallback extraction.
12022020 Council Meeting Minutes.pdf,210,False,Review item 1159: weak or fallback extraction.
12022020 Council Meeting Minutes.pdf,210,False,Review item 1160: weak or fallback extraction.
12022020 Council Meeting Minutes.pdf,210,False,Review item 1161: weak or fallback extraction.
12032025.pdf,211,False,Review item 1162: weak or fallback extraction.
12032025.pdf,211,False,Review item 1163: weak or fallback extraction.
12032025.pdf,211,False,Review item 1164: weak or fallback extraction.
12032025.pdf,211,False,Review item 1165: weak or fallback extraction.
12032025.pdf,211,False,Review item 1166: weak or fallback extraction.
12032025.pdf,211,False,Review item 1167: weak or fallback extraction.
12032025.pdf,211,False,Review item 1168: weak or fallback extraction.
12032025.pdf,211,False,Review item 1169: weak or fallback extraction.
12042024 minutes.pdf,212,False,Review item 1170: weak or fallback extraction.
12042024 minutes.pdf,212,False,Review item 1171: weak or fallback extraction.
12042024 minutes.pdf,212,False,Review item 1172: weak or fallback extraction.
12042024 minutes.pdf,212,False,Review item 1173: weak or fallback extraction.
12042024 minutes.pdf,212,False,Review item 1174: weak or fallback extraction.
12042024 minutes.pdf,212,False,Review item 1175: weak or fallback extraction.
120617 Council Meeting Approved Minutes.pdf,213,False,Review item 1176: weak or fallback extraction.
