item_id,meeting_id,action_type,vote_detected,project_matches,review_reason,item_text
67,12,Ordinance,True,,No location name/address matched,"Approved Ordinance 2020-11 with the change to Section 2, adding one additional condition that says the Village Manager may waive the agreement that the traffic light be operational prior to the first certificate of completion for the vertical development, if the Village Manager determines that the light will be operational within four months"
69,12,Ordinance,True,,No location name/address matched,Approved Ordinance 2021-01
70,13,Administrative,True,,No location name/address matched,Approved agenda
71,13,Consent Agenda,True,,No location name/address matched,Approved consent agenda
72,13,Vote,True,,No location name/address matched,Approved the Alternate Master Plan
73,13,Ordinance,True,,No location name/address matched,Adopted Ordinance No. 2025-01
74,14,Administrative,True,,No location name/address matched,Approved agenda
75,14,Consent Agenda,True,,No location name/address matched,Approved consent agenda
76,14,Contract Approval,True,,No location name/address matched,Approved Interlocal Agreement for Election Services with the Supervisor of Elections
77,14,Contract Approval,True,Budget / Capital Improvement; Estero on the River,No location name/address matched,"Approved EC 2024-10 in the amount of $151,440 for CW3 Engineering, Inc. to provide construction engineering and inspection services for the Estero on the River Phase 1 Improvements, approve a $15,000 contingency for additional services that may be required to complete the project and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute and subsequent amendments which do not require an increase in the not to exceed budget (with contingency)"
79,14,Resolution,True,,No location name/address matched,Adopted Resolution No. 2024-02
81,14,Contract Approval,True,,No location name/address matched,Approved Recreation Lease Agreement with the Lee County School Board
82,14,Contract Approval,True,,No location name/address matched,"Approved Joint Use Agreement of Estero High School recreational facilities, and to authorize the Village Manager to administratively approve any amendments to the Agreement or related Lease Agreement which may be required to satisfy School Board requirements or to make necessary clarifications, so long as any such amendments do not increase the financial commitments of the Village beyond those set forth in those respective documents"
83,15,Administrative,True,,No location name/address matched,"Approved to permit Councilmembers Levitan, Wilson, and McLain to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016 forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date"
84,15,Administrative,True,,No location name/address matched,Approved agenda
85,15,Resolution,True,,No location name/address matched,Approved Resolution No. 2021-01
86,15,Ordinance,True,Comprehensive Plan; Comprehensive Plan / Land Development Code,No location name/address matched,"Adopted the Land Development Code Ordinance 2020-10 and Official Zoning Map as amended in the ""Addendum of Recommended Changes"" document dated January 19, 2021 as well as the addition of a sentence to Table 3-405.C that states ""A stand-alone car wash which has applied but has not been determined to be complete for an application for Development Order prior to January 27, 2021, and which submits a complete application for Development Order prior to April 27, 2021, a permitted use and not a special exception use shall apply."""
87,16,Administrative,True,,No location name/address matched,Approved agenda
88,16,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
89,16,Unknown,False,,No location name/address matched,Estero Chamber of Commerce approval of financial support for Strategic Plans for Future Growth and Impact
90,16,Vote,True,,No location name/address matched,Approved motion for financial support Estero Chamber of Commerce Strategic Plans for Future Growth and Impact
91,16,Ordinance,True,,No location name/address matched,"Passed first reading of Ordinance No. 2020-11 and schedule second reading/public hearing for January 20, 2020"
92,16,Ordinance,True,,No location name/address matched,"Passed first reading of Ordinance No. 2021-01 and schedule second reading/public hearing for January 20, 2020"
93,16,Vote,True,,No location name/address matched,Approved motion for a continuance until February 3 with the goal of making a final decision
94,16,Ordinance,True,,No location name/address matched,Adopted Ordinance 2020-07
95,17,Vote,True,,No location name/address matched,"Approved the agenda as revised, adding Edison Farms as Agenda Item 10 (c)"
96,17,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
97,17,Resolution,True,,No location name/address matched,Adopted Resolution No. 2017-04
98,17,Ordinance,True,,No location name/address matched,"Staff recommends that: (1) Council request the Village Land Use Attorney to draft a Bonus Density Land Acquisition ordinance for Council review; and (2) Upon applicant revisions of the Pattern Book, schedule Council review at a future meeting for compliance with Zoning Conditions. Village Manager Sarkozy provided a brief explanation. Community Development Director Gibbs addressed staffs request for the Council to provide direction on two items related to the Estero Grande Development Order; the application was currently under review for the ""infrastructure"", meaning the basic road and utilities layout and parcel configuration; no individual parcels have been submitted yet for commercial or residential uses. The staff identified two issues during review that require interpretation and policy direction from the Council: (1) Interpretation of two zoning conditions of Lee County's approval ofEstero Grande in Zoning Resolution Z 14-028. (2) Policy direction on ""Bonus Density,"" density above the standard residential range of 1-6 units per acre. Community Development Director Gibbs spoke to the zoning conditions and noted that staff did not believe that the current Pattern Book satisfied the conditions; the Pattern Book should be revised to more specifically represent what would be built on the site based on the anticipated use of the property. With regard to the Bonus Density Program, Community Development Director Gibbs explained that Village Land Use Attorney Nancy Stroud opined that the program would not be applicable in the Village unless and until the Village adopted its own program or entered into an interlocal agreement with Lee County to use the county program. She stated that staff was requesting direction on whether the Council desired to establish a bonus density program; another option that had been discussed was establishing a bonus density program for land acquisition, to provide future opportunities for land preservation or recreation, or similar needs. Ms. Gibbs noted that an ordinance would need to be prepared outlining specific provisions if the Council chose to implement establishing a bonus density program for land acquisition rather than the housing density program. Community Development Director Gibbs offered two recommendations: (1) Council request the Village Land Use Attorney to draft a Bonus Density Land Acquisition ordinance for Council review; and (2) Upon applicant revisions of the Pattern Book, schedule Council review at a future meeting for compliance with Zoning Conditions. Questions or Comments by: Vice Mayor Levitan, Councilmembers Errington, Wilson, Boesch, Ribble, and Mayor Batos. Discussion followed including the history of the Estero Grande project; Pattern Book review; adopting a bonus density program; Development Order conditions; parking concerns; and interconnect with the Terra Vista community. Village Council Meeting Final Action Agenda/Minutes - February 1, 2017 Page 3 of7"
99,17,Unknown,False,,No location name/address matched,A workshop will be scheduled
100,17,Vote,True,,No location name/address matched,Approved the letter to Florida Department of Transportation
101,18,Administrative,True,,No location name/address matched,"Motion to permit Councilmember Wilson to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date"
102,18,Administrative,True,,No location name/address matched,Approved agenda
103,18,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
104,18,Ordinance,True,,No location name/address matched,"Passed first reading of Zoning Ordinance 2023-01 and set second reading for February 15, 2023"
105,19,Administrative,True,,No location name/address matched,Approved to permit Village Attorney Burt Saunders to participate remotely in Zoom Presentation
106,19,Administrative,True,,No location name/address matched,Approved agenda
107,19,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
108,19,Resolution,True,,No location name/address matched,Adopted Resolution No. 2022-02
112,20,Administrative,True,,No location name/address matched,"Approved agenda with the deletion of 6 (b). Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date"
113,20,Consent Agenda,True,,No location name/address matched,Approved consent agenda
114,20,Resolution,True,,No location name/address matched,"Approved Resolution No. 2025-01 to reappoint two (2) Planning, Zoning, and Design Board members for a one-year term"
115,20,Ordinance,True,,No location name/address matched,Adopted Ordinance No. 2024-14 with staff revisions
