candidate_id,item_id,meeting_id,location_id,candidate_name,candidate_address,candidate_source,arcgis_query,evidence,review_status
69,400,80,18,Coconut Road,"Coconut Road, Estero, FL",known_location_missing_coordinates,"Coconut Road, Estero, FL","Approved the acceptance of North Commons Drive from Coconut Road to Pelican Colony Boulevard for maintenance as a Village-maintained road, issue impact fee credits in the amount of $325,000 upon acceptance of the road, and approve Resolution No. 2021-11 as modified to include landscaping, and revision to the end of Section 2 to add language ""including a letter issuing impact fee credits""",Needs Geocode
70,448,89,28,Stoneybrook,"Stoneybrook, Estero, FL",known_location_missing_coordinates,"Stoneybrook, Estero, FL","Approved Misc. Contractor Services contract EC 2019-06 STA 07 with Cougar Contractor Services for $313,468 for the construction of a pathway on the south side of Corkscrew Road from Stoneybrook Golf Blvd. to the Stoneybrook Golf Drive right turn lane, approve a contingency fund amount of $31,300 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Ester",Needs Geocode
71,449,89,28,Stoneybrook,"Stoneybrook, Estero, FL",known_location_missing_coordinates,"Stoneybrook, Estero, FL","Approved Misc. Professional Services contract EC 2020-07 STA 02 with AIM Engineering and Surveying for $42,211.13 for CEI service on the Corkscrew Road Stoneybrook path construction, approve a contingency fund amount of $4,200 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",Needs Geocode
72,450,89,11,Broadway Avenue West UEP,"Broadway Avenue West, Estero, FL",known_location_missing_coordinates,"Broadway Avenue West, Estero, FL","Approved the contract with Johnson Engineering, Inc. to provide design and permitting services Broadway Ave. West UEP in the amount of $1,060,763, approve a contingency fund amount of $106,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract with Johnson Engineering, Inc., and any other related ancillary documents on behalf of the Village Council",Needs Geocode
73,468,93,2,Legacy Church,"21115 Design Parc Lane, Estero, FL 33928",known_location_missing_coordinates,"21115 Design Parc Lane, Estero, FL 33928","APPROVED BY COUNCIL JULY 6,2016 FINAL ACTION AGENDA/MINUTES 1. Call to Order: 5:30 p.m. Village of Estero Village Council Workshop Held at Legacy Church 21115 Design Pare Lane Estero, FL 33928 May 24, 2016 5:30 p.m. 2. Pledge of Allegiance: Led by Mayor Batos. 3. Invocation: Offered by Pastor Nolen Rollins. 4. Roll Call: Present: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Katy Errington - District 4, Councilmember J",Needs Geocode
74,468,93,42,21115 Design Parc Lane,"21115 Design Parc Lane, Estero, FL",address_regex,"21115 Design Parc Lane, Estero, FL","APPROVED BY COUNCIL JULY 6,2016 FINAL ACTION AGENDA/MINUTES 1. Call to Order: 5:30 p.m. Village of Estero Village Council Workshop Held at Legacy Church 21115 Design Pare Lane Estero, FL 33928 May 24, 2016 5:30 p.m. 2. Pledge of Allegiance: Led by Mayor Batos. 3. Invocation: Offered by Pastor Nolen Rollins. 4. Roll Call: Present: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Katy Errington - District 4, Councilmember J",Needs Geocode
75,556,110,21,River Oaks Preserve,"River Oaks Preserve, Estero, FL",known_location_missing_coordinates,"River Oaks Preserve, Estero, FL","Approved the award of Contract 25031 with Chris Tel Construction to provide construction manager as risk services for the River Oaks Preserve Project, approve pre-construction services as described in the contract for $346,926, approve a $35,000 contingency for additional services that may be required to complete preconstruction services, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of",Needs Geocode
76,575,112,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","Approved release of CN 2017-01, which solicits proposals for the Estero Parkway Roadway and Landscape Design",Needs Geocode
77,584,113,43,8801 Corkscrew Road,"8801 Corkscrew Road, Estero, FL",address_regex,"8801 Corkscrew Road, Estero, FL","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council with the instructions that the",Needs Geocode
78,585,113,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL",Approved award Contract EC 2021-04 Amendment 5 to replace plant materials along Estero Parkway and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Estero Council,Needs Geocode
79,586,113,43,8801 Corkscrew Road,"8801 Corkscrew Road, Estero, FL",address_regex,"8801 Corkscrew Road, Estero, FL","Approved award Amendment 1 to Contract EC 2023-21 to mulch all debris and downed trees located at 8801 Corkscrew Road for $11,886.89 and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Estero Council",Needs Geocode
80,598,115,25,Koreshan State Park,"Koreshan State Park, Estero, FL",known_location_missing_coordinates,"Koreshan State Park, Estero, FL","adopted the concepts that Councilmember Errington was suggesting and encouraged the formation of the committee. Mayor Batos noted on the last page of her presentation that Councilmember Errington was asking Council to give approval for a public supported Estero Historic Preservation Advisory Committee and it appeared that she now wasn't asking for approval, but rather informing Council of her plans. Councilmember Errington responded that the wording was out of courtesy to the Council. Mayor Bato",Needs Geocode
81,599,115,3,Estero Fire Rescue,"21500 Three Oaks Parkway, Estero, FL 33928",known_location_missing_coordinates,"21500 Three Oaks Parkway, Estero, FL 33928","adopted prior to December 31, 2014; however, it is an exemption that the Village will get next year. Attorney Saunders added that it only applied to the very small millage that the Village of Estero would be levying. Discussion followed regarding the net effect on tax payers. Vice Mayor Levitan inquired whether a resolution would need to be adopted every year. Village Manager Peter Lombardi responded that the Village would need to adopt an ordinance because the County ordinance excludes the inco",Needs Geocode
82,599,115,16,Three Oaks Parkway,"Three Oaks Parkway, Estero, FL",known_location_missing_coordinates,"Three Oaks Parkway, Estero, FL","adopted prior to December 31, 2014; however, it is an exemption that the Village will get next year. Attorney Saunders added that it only applied to the very small millage that the Village of Estero would be levying. Discussion followed regarding the net effect on tax payers. Vice Mayor Levitan inquired whether a resolution would need to be adopted every year. Village Manager Peter Lombardi responded that the Village would need to adopt an ordinance because the County ordinance excludes the inco",Needs Geocode
83,599,115,30,The Brooks,"The Brooks, Estero, FL",known_location_missing_coordinates,"The Brooks, Estero, FL","adopted prior to December 31, 2014; however, it is an exemption that the Village will get next year. Attorney Saunders added that it only applied to the very small millage that the Village of Estero would be levying. Discussion followed regarding the net effect on tax payers. Vice Mayor Levitan inquired whether a resolution would need to be adopted every year. Village Manager Peter Lombardi responded that the Village would need to adopt an ordinance because the County ordinance excludes the inco",Needs Geocode
84,626,119,16,Three Oaks Parkway,"Three Oaks Parkway, Estero, FL",known_location_missing_coordinates,"Three Oaks Parkway, Estero, FL","Approved the Interlocal Agreement with The Brooks Community Development District (CDD) for improvements to the Three Oaks Parkway paths and authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary which do not increase cost above $380,000",Needs Geocode
85,626,119,30,The Brooks,"The Brooks, Estero, FL",known_location_missing_coordinates,"The Brooks, Estero, FL","Approved the Interlocal Agreement with The Brooks Community Development District (CDD) for improvements to the Three Oaks Parkway paths and authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary which do not increase cost above $380,000",Needs Geocode
86,638,120,12,Sandy Lane,"Sandy Lane, Estero, FL",known_location_missing_coordinates,"Sandy Lane, Estero, FL","Approved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engineered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",Needs Geocode
87,647,121,22,Estero River,"Estero River, Estero, FL",known_location_missing_coordinates,"Estero River, Estero, FL",Adopted Resolution No. 2016-17 with corrections to minor typos and inclusion of additional bullet points: Changing the name of the Koreshan State Park to Estero River/Koreshan Historic Site State Park; Exploring environmental research facilities and environmental restoration through the Florida Gulf Coast University Environmental Studies Group,Needs Geocode
88,647,121,25,Koreshan State Park,"Koreshan State Park, Estero, FL",known_location_missing_coordinates,"Koreshan State Park, Estero, FL",Adopted Resolution No. 2016-17 with corrections to minor typos and inclusion of additional bullet points: Changing the name of the Koreshan State Park to Estero River/Koreshan Historic Site State Park; Exploring environmental research facilities and environmental restoration through the Florida Gulf Coast University Environmental Studies Group,Needs Geocode
89,670,124,18,Coconut Road,"Coconut Road, Estero, FL",known_location_missing_coordinates,"Coconut Road, Estero, FL","Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council, and adopt Resolution No. 2020-11 for Fiscal Year 2019-2020 budget amendment",Needs Geocode
90,673,124,22,Estero River,"Estero River, Estero, FL",known_location_missing_coordinates,"Estero River, Estero, FL","Approved to move to second public hearing on July 22, 2020 and remove the Estero River Preserve line item from 2020-21 CIP and instead moved to 2021-22 budget",Needs Geocode
91,707,132,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","Approved award Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services for US 41 Median Landscaping as provided in the contract for a one-year period, at a rate of $260,854.20 per year. Authorize the Village Manager to renegotiate and execute the renewal of this contract for three additional one-year terms under the same terms and conditions, ",Needs Geocode
92,707,132,17,US 41 / Tamiami Trail,"US 41, Estero, FL",known_location_missing_coordinates,"US 41, Estero, FL","Approved award Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services for US 41 Median Landscaping as provided in the contract for a one-year period, at a rate of $260,854.20 per year. Authorize the Village Manager to renegotiate and execute the renewal of this contract for three additional one-year terms under the same terms and conditions, ",Needs Geocode
93,711,133,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","adopted rules or policies that indicated the procedure; however, generally a governing body collective would suggest a resolution. Mayor Batos stated that he would try to put a discussion item on an agenda for a September meeting, however, he noted that Council would be discussing the next step in the CIP in October and he believed that all of the items Councilmember Boesch referred to would be part of the CIP discussion. He also believed that Council should not be taking any of the programs pie",Needs Geocode
94,726,135,13,Williams Road,"Williams Road, Estero, FL",known_location_missing_coordinates,"Williams Road, Estero, FL","Approved second reading and adopt Ordinance No. 2017-02 Approving Zoning and DRI Development Order Amendments for the Coconut Point Mixed Use Planned Development and Development of Regional Impact for Property Bounded by US 41 on the West, Williams Road on the North, Seminole Gulf Railroad Right-of-Way on the East and the Southern Boundary for the Village of Estero Limits, subject to all conditions and revisions, as stated in the ordinance. The conditions and deviations include, but are not limi",Needs Geocode
95,726,135,17,US 41 / Tamiami Trail,"US 41, Estero, FL",known_location_missing_coordinates,"US 41, Estero, FL","Approved second reading and adopt Ordinance No. 2017-02 Approving Zoning and DRI Development Order Amendments for the Coconut Point Mixed Use Planned Development and Development of Regional Impact for Property Bounded by US 41 on the West, Williams Road on the North, Seminole Gulf Railroad Right-of-Way on the East and the Southern Boundary for the Village of Estero Limits, subject to all conditions and revisions, as stated in the ordinance. The conditions and deviations include, but are not limi",Needs Geocode
96,726,135,23,Coconut Point,"Coconut Point, Estero, FL",known_location_missing_coordinates,"Coconut Point, Estero, FL","Approved second reading and adopt Ordinance No. 2017-02 Approving Zoning and DRI Development Order Amendments for the Coconut Point Mixed Use Planned Development and Development of Regional Impact for Property Bounded by US 41 on the West, Williams Road on the North, Seminole Gulf Railroad Right-of-Way on the East and the Southern Boundary for the Village of Estero Limits, subject to all conditions and revisions, as stated in the ordinance. The conditions and deviations include, but are not limi",Needs Geocode
97,741,137,11,Broadway Avenue West UEP,"Broadway Avenue West, Estero, FL",known_location_missing_coordinates,"Broadway Avenue West, Estero, FL","Adopted Resolution No. 2017-23 Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the Village Manager to Execute a Contract for Emergency Replacement of the Culvert, Abutments, and Related Ditching for the Stonnwater Conveyance System under Broadway Avenue West, near US 41, with a Contractor Chosen by Village Staff; and Providing an Effective Date",Needs Geocode
98,741,137,17,US 41 / Tamiami Trail,"US 41, Estero, FL",known_location_missing_coordinates,"US 41, Estero, FL","Adopted Resolution No. 2017-23 Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the Village Manager to Execute a Contract for Emergency Replacement of the Culvert, Abutments, and Related Ditching for the Stonnwater Conveyance System under Broadway Avenue West, near US 41, with a Contractor Chosen by Village Staff; and Providing an Effective Date",Needs Geocode
99,741,137,19,Broadway Avenue,"Broadway Avenue, Estero, FL",known_location_missing_coordinates,"Broadway Avenue, Estero, FL","Adopted Resolution No. 2017-23 Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the Village Manager to Execute a Contract for Emergency Replacement of the Culvert, Abutments, and Related Ditching for the Stonnwater Conveyance System under Broadway Avenue West, near US 41, with a Contractor Chosen by Village Staff; and Providing an Effective Date",Needs Geocode
100,755,139,33,Genova,"Genova, Estero, FL",known_location_missing_coordinates,"Genova, Estero, FL",Adopted Resolution No. 2016-22 approving the vacation of an easement and right-of-way for the Genova project,Needs Geocode
101,766,141,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","Approved the Interlocal Agreement with Lee County for the continuation of the University Landscaping Operation and Maintenance Special Improvement Unit to provide an enhanced level oflandscaping along certain portions of Corkscrew Road, Estero Parkway and Ben Hill Griffin Parkway within the Village limits and to schedule first reading of the ordinance for September 7, 2016 and second reading and public hearing for September 21, 2016",Needs Geocode
102,766,141,15,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway, Estero, FL",known_location_missing_coordinates,"Ben Hill Griffin Parkway, Estero, FL","Approved the Interlocal Agreement with Lee County for the continuation of the University Landscaping Operation and Maintenance Special Improvement Unit to provide an enhanced level oflandscaping along certain portions of Corkscrew Road, Estero Parkway and Ben Hill Griffin Parkway within the Village limits and to schedule first reading of the ordinance for September 7, 2016 and second reading and public hearing for September 21, 2016",Needs Geocode
103,767,142,17,US 41 / Tamiami Trail,"US 41, Estero, FL",known_location_missing_coordinates,"US 41, Estero, FL","approved by the ECCL members present at the August 28, 2015 meeting related to including a list of civic, recreational and arts, and entertainment assets in the section of the Village Center south of Corkscrew Road and. expanded public, bike, and pedestrian access to the Estero River, improved integration of the Koreshan State Site and the Boomer/future State park property with the historic and river access properties in the Old Estero area north of the Estero River into an expanded Village Cent",Needs Geocode
104,767,142,22,Estero River,"Estero River, Estero, FL",known_location_missing_coordinates,"Estero River, Estero, FL","approved by the ECCL members present at the August 28, 2015 meeting related to including a list of civic, recreational and arts, and entertainment assets in the section of the Village Center south of Corkscrew Road and. expanded public, bike, and pedestrian access to the Estero River, improved integration of the Koreshan State Site and the Boomer/future State park property with the historic and river access properties in the Old Estero area north of the Estero River into an expanded Village Cent",Needs Geocode
105,767,142,25,Koreshan State Park,"Koreshan State Park, Estero, FL",known_location_missing_coordinates,"Koreshan State Park, Estero, FL","approved by the ECCL members present at the August 28, 2015 meeting related to including a list of civic, recreational and arts, and entertainment assets in the section of the Village Center south of Corkscrew Road and. expanded public, bike, and pedestrian access to the Estero River, improved integration of the Koreshan State Site and the Boomer/future State park property with the historic and river access properties in the Old Estero area north of the Estero River into an expanded Village Cent",Needs Geocode
106,767,142,30,The Brooks,"The Brooks, Estero, FL",known_location_missing_coordinates,"The Brooks, Estero, FL","approved by the ECCL members present at the August 28, 2015 meeting related to including a list of civic, recreational and arts, and entertainment assets in the section of the Village Center south of Corkscrew Road and. expanded public, bike, and pedestrian access to the Estero River, improved integration of the Koreshan State Site and the Boomer/future State park property with the historic and river access properties in the Old Estero area north of the Estero River into an expanded Village Cent",Needs Geocode
107,773,143,3,Estero Fire Rescue,"21500 Three Oaks Parkway, Estero, FL 33928",known_location_missing_coordinates,"21500 Three Oaks Parkway, Estero, FL 33928",Approved the Interlocal Agreement with Estero Fire Rescue for fire services,Needs Geocode
108,792,145,13,Williams Road,"Williams Road, Estero, FL",known_location_missing_coordinates,"Williams Road, Estero, FL","Approved award of Contract EC 2023-50 to Kisinger Campo & Associates (KCA) for Williams Road Widening Preliminary Engineering and Design services for $577,133, approve a $57,700 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council",Needs Geocode
109,793,145,17,US 41 / Tamiami Trail,"US 41, Estero, FL",known_location_missing_coordinates,"US 41, Estero, FL","Approved award Misc. Contractor Services contract EC 2019-66 STA 40 with P & T Lawn & Tractor Services for $254,934 to install new landscaping within US 41 Medians 6-12, approve a contingency fund amount of $25,500 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",Needs Geocode
110,794,145,16,Three Oaks Parkway,"Three Oaks Parkway, Estero, FL",known_location_missing_coordinates,"Three Oaks Parkway, Estero, FL","Approved award EC 2019-66 Supplemental Task Authorization (STA)- 41 for the engagement of a Contractor to construct and install a monument sign on Three Oaks Parkway at a total cost of $74,449, approve a contingency fund amount of $7,500 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA on behalf of the Village of Estero Council",Needs Geocode
111,800,146,44,645 feet south of Salerno Bay Road,"645 feet south of Salerno Bay Road, Estero, FL",address_regex,"645 feet south of Salerno Bay Road, Estero, FL","Approved Supplemental Task Authorization (STA)-28 under RFQ 2019- 03 Miscellaneous Contractor Services to P & T Lawn and Tractor Service, Inc. for the engagement of a Contractor to construct and install a monument sign on Imperial Parkway (in the roadway median at the Village's southern limits approximately 645 feet south of Salerno Bay Road) at a total cost of $58,941.50, approve a contingency fund amount of $5,890 (an amount equal to 10% of the total project cost) to cover unforeseen circumsta",Needs Geocode
112,807,147,22,Estero River,"Estero River, Estero, FL",known_location_missing_coordinates,"Estero River, Estero, FL","Adopted Resolution No. 2020-16 with the addition of budgeting an additional $35,000 for extra marine patrol on the Estero River and $10,000 to upgrade the audio equipment Village Council Chambers",Needs Geocode
113,809,147,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL",Approved Change Order one to Contract No. EC 2018-50-STA3 for CEI services for Estero Parkway Roadway and Landscape Improvement Project. Authorize the Village Manager to execute the amendment and any other ancillary documents on behalf of the Council,Needs Geocode
114,818,148,20,River Ranch Road,"River Ranch Road, Estero, FL",known_location_missing_coordinates,"River Ranch Road, Estero, FL","Approved executing the attached contract with CW3 Engineering to provide River Ranch Road Improvement Design and Permitting services for a not to exceed contract amount of $552,245.00, approve a contingency fund amount of $55,200 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and Authorize the Village Manager to execute the with CW3 Engineering and any other related ancillary documents on behalf of the Village Council",Needs Geocode
115,819,148,20,River Ranch Road,"River Ranch Road, Estero, FL",known_location_missing_coordinates,"River Ranch Road, Estero, FL","Approved executing the attached contract with HighSpans to provide River Ranch Road Improvement project management services for a not to exceed contract amount of Village Council Minutes - Thursday, September 09, 2021 5 $52,548.00, approve a contingency fund amount of $5,300 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract with HighSpans and any other related ancillary documents on beha",Needs Geocode
116,820,148,13,Williams Road,"Williams Road, Estero, FL",known_location_missing_coordinates,"Williams Road, Estero, FL","Approved executing the attached contract with HighSpans to provide Williams Road Bike-Ped Improvements project management services for a not to exceed contract amount of $41,934.00, approve a contingency fund amount of $4,200 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract with HighSpans and any other related ancillary documents on behalf of the Village Council",Needs Geocode
117,863,155,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","(1) Concurred with the ranking of consultants for CN 2017-01 Estero Parkway Roadway/ Landscape Design & Estero Roadways Landscape Master Plan as follows: Number 1 - Agnoli, Barber & Brundage; Number 2 - Kimley-Hom; Number 3 -T.Y. Lin; Number 4-DRMP; (2) Authorized staff to negotiate a contract with the Number 1 ranked firm, Agnoli, Barber & Brundage to provide professional consulting services for the roadway/landscape design for improvements to Estero Parkway",Needs Geocode
118,894,158,16,Three Oaks Parkway,"Three Oaks Parkway, Estero, FL",known_location_missing_coordinates,"Three Oaks Parkway, Estero, FL","Approved a contract, via a piggybacking of the School District's bid, with Harvard Jolly Architecture in the amount of $98,000 to provide architectural and engineering services for additional athletic facilities at the proposed new School District of Lee County PreK-8 School on Three Oaks Parkway, approve a contingency fund amount of $9,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contra",Needs Geocode
119,905,160,3,Estero Fire Rescue,"21500 Three Oaks Parkway, Estero, FL 33928",known_location_missing_coordinates,"21500 Three Oaks Parkway, Estero, FL 33928","approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember J",Needs Geocode
120,905,160,16,Three Oaks Parkway,"Three Oaks Parkway, Estero, FL",known_location_missing_coordinates,"Three Oaks Parkway, Estero, FL","approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember J",Needs Geocode
121,905,160,30,The Brooks,"The Brooks, Estero, FL",known_location_missing_coordinates,"The Brooks, Estero, FL","approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember J",Needs Geocode
122,905,160,37,21500 Three Oaks Parkway,"21500 Three Oaks Parkway, Estero, FL",address_regex,"21500 Three Oaks Parkway, Estero, FL","approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember J",Needs Geocode
123,924,164,19,Broadway Avenue,"Broadway Avenue, Estero, FL",known_location_missing_coordinates,"Broadway Avenue, Estero, FL","Approved the Florida DEP Standard Grant Agreement for the Estero Broadway Avenue East Phase 1 project (Agreement Number L0187), and to authorize the Village Manager or designee to execute all related documents",Needs Geocode
124,954,168,45,20275 Sherrill Ln,"20275 Sherrill Ln, Estero, FL",address_regex,"20275 Sherrill Ln, Estero, FL","Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000.00",Needs Geocode
125,955,168,22,Estero River,"Estero River, Estero, FL",known_location_missing_coordinates,"Estero River, Estero, FL","Approved Change Order No. 1 to Contract EC 2022-39 STA 02 with J.R. Evans Engineering, P.A. for the Estero River North Branch Drainage HMGP Assistance project and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-39 STA 02 with J.R. Evans Engineering, P.A",Needs Geocode
126,972,173,13,Williams Road,"Williams Road, Estero, FL",known_location_missing_coordinates,"Williams Road, Estero, FL","Approved Village Staff and the Villages Lobbyists to request state funding for the following projects and funding amounts Sunny Goves Utility Extension Project - $800,000 Estero SportsPark Reuse Water Main Extension and Storage Tank - $800,000 Estero Parkway Reuse Water Main Extension - $800,000 Williams Road and Atlantic Gulf Drive Improvements - $800,000",Needs Geocode
127,972,173,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","Approved Village Staff and the Villages Lobbyists to request state funding for the following projects and funding amounts Sunny Goves Utility Extension Project - $800,000 Estero SportsPark Reuse Water Main Extension and Storage Tank - $800,000 Estero Parkway Reuse Water Main Extension - $800,000 Williams Road and Atlantic Gulf Drive Improvements - $800,000",Needs Geocode
128,989,176,43,8801 Corkscrew Road,"8801 Corkscrew Road, Estero, FL",address_regex,"8801 Corkscrew Road, Estero, FL","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",Needs Geocode
129,990,176,11,Broadway Avenue West UEP,"Broadway Avenue West, Estero, FL",known_location_missing_coordinates,"Broadway Avenue West, Estero, FL",Approved the Fiscal Year 2024-2025 Village of Estero legislative priorities to include. 1. Highlands Ave. Septic-to-Sewer 2. Sunny Groves UEP 3. Estero Bay Village UEP 4. Cypress Bend UEP 5. Broadway Ave. West Improvements 6. River Oaks Preserve,Needs Geocode
130,990,176,21,River Oaks Preserve,"River Oaks Preserve, Estero, FL",known_location_missing_coordinates,"River Oaks Preserve, Estero, FL",Approved the Fiscal Year 2024-2025 Village of Estero legislative priorities to include. 1. Highlands Ave. Septic-to-Sewer 2. Sunny Groves UEP 3. Estero Bay Village UEP 4. Cypress Bend UEP 5. Broadway Ave. West Improvements 6. River Oaks Preserve,Needs Geocode
131,1036,186,17,US 41 / Tamiami Trail,"US 41, Estero, FL",known_location_missing_coordinates,"US 41, Estero, FL","Approved EC 2019-66 Supplemental Task Authorization (STA) - 42 for the engagement of P&T Lawn and Tractor to construct and install a monument sign on US 41 at a total cost of $66,675, approve a contingency fund amount of $6,700 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA on behalf of the Village of Estero Council",Needs Geocode
132,1039,187,18,Coconut Road,"Coconut Road, Estero, FL",known_location_missing_coordinates,"Coconut Road, Estero, FL","Approved the agenda as amended: changing agenda item 5 from Public Hearings to the topic of Coconut Road, renumbering agenda items 8 through 12, moving Workshop Items after Village Manager's Report",Needs Geocode
