ActionId,MeetingId,MeetingDate,ProjectName,MeetingType,Sequence,Kind,ReferenceCode,AmountUSD,RawText
253,78,2024-09-11,BERT Rail Trail,Regular Council Meeting,4,Approved Contract,,,"Approved award of Invitation to Bid 100224, Disaster Recovery Services for the Village of Estero to CrowderGulf Joint Venture, Inc. to provide on-call disaster recovery services as provided in the solicitation. Authorize the Village Manager to execute a contract document on behalf of the Village of Estero"
252,78,2024-09-11,BERT Rail Trail,Regular Council Meeting,3,Approved Contract,,,"Approved award of Invitation to Bid 100124, Disaster Debris Monitoring Services for the Village of Estero to the apparent low bidder, Disaster Program Operations, Inc. to provide on- call disaster debris monitoring services as provided in the contract for a one -year period, at the rates submitted on their bid, authorize the Village Manager to execute contract documents on behalf of the Village of Estero"
251,78,2024-09-11,BERT Rail Trail,Regular Council Meeting,2,Adopted Resolution,2024-15,,Adopted Resolution No. 2024-15.
250,78,2024-09-11,BERT Rail Trail,Regular Council Meeting,1,Adopted Resolution,2024-13,,Adopted Resolution No. 2024-13.
249,78,2024-09-11,BERT Rail Trail,Regular Council Meeting,0,Adopted Resolution,2024-12,,Adopted Resolution No. 2024-12. Vote : (Roll Call) Aye:
226,69,2024-06-19,BERT Rail Trail,Regular Council Meeting,4,Passed Ordinance,2024-06,,Passed Second Reading of Ordinance No. 2024-06.
225,69,2024-06-19,BERT Rail Trail,Regular Council Meeting,3,Passed,,,"Passed first reading and schedule second reading for June 19, 2024."
224,69,2024-06-19,BERT Rail Trail,Regular Council Meeting,2,Approved,RFP 2024-03,,"Approved the ranking of construction management firms for RFP 2024-03 as recommended by the Village's selection committee. 1 - Wright Construction, 2 - AIM Construction, 3 - Chris Tel Construction, 4 - American Infrastructure Services, and authorize"
223,69,2024-06-19,BERT Rail Trail,Regular Council Meeting,1,Approved,RFP 2024-02,,"Approved the ranking of construction management firms for RFP 2024-02 as recommended by the Village of Estero's selection committee. 1-Manhattan Construction, 2- Wright Construction, 3- Chris Tel Construction, 4- Seagate Development Group, 5 Brooks & Freund, and authorize"
222,69,2024-06-19,BERT Rail Trail,Regular Council Meeting,0,Approved,RFP 2024-04,,Approved the ranking of construction management firms for RFP 2024-04 as 1- Wright Construction and a uthorize
180,55,2024-06-05,BERT Rail Trail,Regular Council Meeting,3,Passed Ordinance,2024-06,,"Passed First Reading of Ordinance No. 2024-06 and set second reading for June 5, 2024."
179,55,2024-06-05,BERT Rail Trail,Regular Council Meeting,2,Approved,,,Approved that Wright Construction Group is granted a Notice to Proceed on their phase 1 construction costs based on GMP#1.
178,55,2024-06-05,BERT Rail Trail,Regular Council Meeting,1,Approved,,,Approved the Village Manager to execute the High- 5
177,55,2024-06-05,BERT Rail Trail,Regular Council Meeting,0,Approved Resolution,2024-05,,Approved Resolution No. 2024-05. Vote : (Roll Call) Aye:
158,49,2024-05-15,BERT Rail Trail,Regular Council Meeting,5,Approved Resolution,2024-09,,Approved Resolution No. 2024-09 Excessive Force Policy.
157,49,2024-05-15,BERT Rail Trail,Regular Council Meeting,4,Approved Resolution,2024-08,,Approved Resolution No. 2024-08 authorizing the Village Manager to perform various duties including accepting and authorizing CDBG -DR grants from HUD and administered by Lee County.
156,49,2024-05-15,BERT Rail Trail,Regular Council Meeting,3,Adopted Resolution,2024-07,,Adopted Resolution No. 2024-07.
155,49,2024-05-15,BERT Rail Trail,Regular Council Meeting,2,Approved Resolution,,,Approved of the attached Resolution will give credibility to the Village of Estero interest in this acquisition. It can also be used as the necessary financial match for Federal and State grants.
154,49,2024-05-15,BERT Rail Trail,Regular Council Meeting,1,Approved Agreement,,,"Approved Construction Manager at Risk agreement between Village of Estero and Chris -Tel Construction, Inc. for the Sandy Lane Bike/Ped Improvements Project and to authorize the Village Manager to execute the agreement with an effective date of July 1, 2024 and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by"
153,49,2024-05-15,BERT Rail Trail,Regular Council Meeting,0,Approved Agreement,,,"Approved Construction Manager at Risk agreement between Village of Estero and Manhattan Construction, Inc. for Williams Road and Atlantic Gulf Blvd Intersection Project and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by"
142,44,2024-05-01,Septic to Sewer Conversion,Regular Council Meeting,2,Approved,,,"Approved continuance to May 1, 2024."
141,44,2024-05-01,Septic to Sewer Conversion,Regular Council Meeting,1,Approved Agreement,,,"Approved the Assignment and Amendment of the License Agreement for Sandy Lane Right of Way Occupation, Drainage Pipe Construction and Maintenance agreement with Seminole Gulf Railway and authorize the Village Manager to execute the agreement on behalf of the"
140,44,2024-05-01,Septic to Sewer Conversion,Regular Council Meeting,0,Approved Easement,EC 2024-06,81000.0,"Approved EC 2024-06 STA -05 in the amount of $81,000 with Florida Acquisition & Appraisal, Inc. to assist the Village in obtaining easement and property required to construction the Broadway Ave East UEP Areas 2 & 3, approve a $8,100 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
120,35,2024-04-17,BERT Rail Trail,Regular Council Meeting,5,Approved Contract,EC 2022-38,175486.0,"Approved EC 2022-38 STA-13 in the amount of $175,486 with Johnson Engineering to perform construction site inspections for all projects within the Village of Estero, approve a $17,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
119,35,2024-04-17,BERT Rail Trail,Regular Council Meeting,4,Approved Contract,EC 2019-66,57500.0,"Approved EC 2019-66 STA -44 in the amount of $57,500 with P & T Lawn & Tractor to relocated twelve palm trees at Jeff Sommer Stadium, approve a $5,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
118,35,2024-04-17,BERT Rail Trail,Regular Council Meeting,3,Approved Agreement,EC 2024-29,,Approved EC 2024-29 Wright Construction Group Piggyback Agreement for Construction Manager At Risk services and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary.
117,35,2024-04-17,BERT Rail Trail,Regular Council Meeting,2,Approved,,,Approved the Framework of Cooperation Between the Village of Estero and the Estero Forever Foundation.
116,35,2024-04-17,BERT Rail Trail,Regular Council Meeting,1,Other,,,Selected Anthony Gargano as Chairperson of the Planning Zoning and Design Board.
115,35,2024-04-17,BERT Rail Trail,Regular Council Meeting,0,Other,2024-04,,"Selected Al Paivandy, James E Tatooles, and Leonard E Scotty Wood III to a one -year term to the Planning, Zoning, and Design Board members, Dan Williams, Anthony Gargano, and Michael Sheeley to a three -year term to the Planning Zoning and Design Board and approve Resolution No. 2024-04. Vote : (Roll Call) Aye:"
100,30,2024-04-03,BERT Rail Trail,Regular Council Meeting,5,Adopted Ordinance,2024-04,,Adopted Ordinance No. 2024-04.
99,30,2024-04-03,BERT Rail Trail,Regular Council Meeting,4,Adopted Ordinance,2024-02,,Adopted Ordinance No. 2024-02.
98,30,2024-04-03,BERT Rail Trail,Regular Council Meeting,3,Adopted Ordinance,2024-01,,Adopted Ordinance No. 2024-01.
97,30,2024-04-03,BERT Rail Trail,Regular Council Meeting,2,Approved Agreement,EC 2024-28,,Approved EC 2024-28 Manhattan Construction Piggyback Agreement for Construction Manager at Risk services and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary.
96,30,2024-04-03,BERT Rail Trail,Regular Council Meeting,1,Approved Agreement,EC 2024-27,,Approved EC 2024-27 Chris -Tel Construction Piggyback Agreement for Construction Manager at Risk services and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary.
95,30,2024-04-03,BERT Rail Trail,Regular Council Meeting,0,Approved Grant,EC 2023-38,203782.0,"Approved EC 2023-38 STA -02 in the amount of $203,782 for Hagerty Consulting, Inc. to assist the Village of Estero in preparing and submitting CDBG -DR Infrastructure Grant applications, approve a $20,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
79,23,2024-03-20,BERT Rail Trail,Regular Council Meeting,5,Adopted Ordinance,2024-03,,Adopted Ordinance No. 2024-03 subject to changing the word enforcement to compliance .
78,23,2024-03-20,BERT Rail Trail,Regular Council Meeting,4,Other,2024-04,,"P assed first reading of Ordinance No. 2024-04 and set second reading for March 20, 2024."
77,23,2024-03-20,BERT Rail Trail,Regular Council Meeting,3,Other,2024-02,,"P assed first reading of Ordinance No. 2024-02 and set second reading for March 20, 2024."
76,23,2024-03-20,BERT Rail Trail,Regular Council Meeting,2,Other,2024-01,,"P assed first reading of Ordinance No. 2024-01 and set second reading for March 20, 2024."
75,23,2024-03-20,BERT Rail Trail,Regular Council Meeting,1,Approved Agreement,,,"Approved the attached Professional Services agreement with Vieste, LLC."
74,23,2024-03-20,BERT Rail Trail,Regular Council Meeting,0,Approved Contract,EC 2024-26,1967667.0,"Approved EC 2024-26 in the amount of $1,967,667 for Hellas Construction, Inc. to install artificial turf on The Jeff Sommer Stadium football field, approve a $197,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
66,19,2024-02-21,BERT Rail Trail,Regular Council Meeting,1,Other,2024-03,,"P assed first reading of Ordinance No. 2024-03 and set second reading for March 6, 2024. Vote : (Roll Call) Aye:"
65,19,2024-02-21,BERT Rail Trail,Regular Council Meeting,0,Approved Easement,,104994.23,"Approved a perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within the scope of the agreement on behalf of the Village of Estero"
