ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,LandUseCategory,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
"Cell Phone Tower - Bella Terra - Zoning Amendment (DCI2023-E002) (District 7) 19980 Bella Terra Boulevard, ±12.44 acres, partially cleared located on Corkscrew Road, west of Bella Terra's entrance and south of Wild Blue. Final Action Agenda/Minute...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-03-12,2024-03-12,2024,Accepted,71,1,Unknown,commercial,"Cell Phone Tower - Bella Terra - Zoning Amendment (DCI2023-E002) (District 7) 19980 Bella Terra Boulevard, ±12.44 acres, partially cleared located on Corkscrew Road, west of Bella Terra's entrance and south of Wild Blue. Final Action Agenda/Minute...","Cell Phone Tower - Bella Terra - Zoning Amendment (DCI2023-E002) (District 7) 19980 Bella Terra Boulevard, ±12.44 acres, partially cleared located on Corkscrew Road, west of Bella Terra's entrance and south of Wild Blue. Final Action Agenda/Minutes are su. Action: Recommended to Council to approve amendment to Commercial Planned Development to add the use of Wireless Communication Facility with staff conditions and an additional condition to provide an updated letter from the engineer address...",Recommended to Council to approve amendment to Commercial Planned Development to add the use of Wireless Communication Facility with staff conditions and an additional condition to provide an updated letter from the engineer addressing the taller tower height and the fall radius,Recommended to Council to approve amendment to Commercial Planned Development to add the use of Wireless Communication Facility with staff conditions and an additional condition to provide an updated letter from the engineer addressing the taller tower height and the fall radius,,,,See minutes,,DCI2023-E002,7,"19980 Bella Terra Boulevard, Estero, FL","19980 Bella Terra Boulevard, Estero, FL",26.450582796918,-81.73115952021,1.0,,20240312 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2024/20240312%20PZDB%20Minutes.pdf,AgendaItemLocation
Corkscrew Road,Village Council,Regular Meeting,Village Council,2024-02-21,2024-02-21,2024,Accepted,1086,3,Contract Approval,infrastructure,Corkscrew Road-River Creek Sidewalk Agreement,"Corkscrew Road-River Creek Sidewalk Agreement. Action: Approved a perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within t...","Approved a perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within the scope of the agreement on behalf of the Village of Estero Council","Approved a perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within the scope of the agreement on behalf of the Village of Estero Council","Approved a perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within the scope of the agreement on behalf of the Village of Estero Council",,,Detected,GL Homes,,,Corkscrew Road Widening Corridor,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,0.9,TD/CS,02212024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/02212024%20minutes.pdf,AgendaItemLocation
"Downtown Estero Multi-Family Townhomes - Development Order, DOS2023-E009 (District 4) Multi-Family Townhomes located in the 34-acre Downtown Estero Development, east of US 41 and north of Broadway East. Final Action Agenda/Minutes are supplemented...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-02-13,2024-02-13,2024,Accepted,70,1,Vote,residential,"Downtown Estero Multi-Family Townhomes - Development Order, DOS2023-E009 (District 4) Multi-Family Townhomes located in the 34-acre Downtown Estero Development, east of US 41 and north of Broadway East. Final Action Agenda/Minutes are supplemented...","Downtown Estero Multi-Family Townhomes - Development Order, DOS2023-E009 (District 4) Multi-Family Townhomes located in the 34-acre Downtown Estero Development, east of US 41 and north of Broadway East. Final Action Agenda/Minutes are supplemented by audi. Action: Approved Development Order with condition to provide updated construction information in the Construction Activities Management Plan within 30 days of Planning Zoning and Design Board approval",Approved Development Order with condition to provide updated construction information in the Construction Activities Management Plan within 30 days of Planning Zoning and Design Board approval,Approved Development Order with condition to provide updated construction information in the Construction Activities Management Plan within 30 days of Planning Zoning and Design Board approval,Approved Development Order with condition to provide updated construction information in the Construction Activities Management Plan within 30 days of Planning Zoning and Design Board approval,,,See minutes,,DOS2023-E009,4,"Downtown Estero project site, east of US 41 and north of Broadway Avenue East, Estero, FL","Downtown Estero project site, east of US 41 and north of Broadway Avenue East, Estero, FL",26.4432,-81.807,1.0,,20240213 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2024/20240213%20PZDB%20Minutes.pdf,AgendaItemLocation
Corkscrew Road,Village Council,Regular Meeting,Village Council,2024-02-07,2024-02-07,2024,Accepted,1083,8,Contract Approval,infrastructure,Corkscrew Road Easement Acquisition Services Contract,"Corkscrew Road Easement Acquisition Services Contract. Action: Approved EC 2024-06 STA -01 in the amount of $59,000 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Corkscrew Road Pathway Improvements Project, approve a $5,900 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of th...","Approved EC 2024-06 STA -01 in the amount of $59,000 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Corkscrew Road Pathway Improvements Project, approve a $5,900 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)","Approved EC 2024-06 STA -01 in the amount of $59,000 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Corkscrew Road Pathway Improvements Project, approve a $5,900 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)","Approved EC 2024-06 STA -01 in the amount of $59,000 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Corkscrew Road Pathway Improvements Project, approve a $5,900 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)",,,Detected,,EC 2024-06,,Corkscrew Road Widening Corridor,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,0.9,TD/CS,02072024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/02072024%20minutes.pdf,AgendaItemLocation
Williams Road Improvements,Village Council,Regular Meeting,Village Council,2024-02-07,2024-02-07,2024,Accepted,1082,7,Contract Approval,open_space,US 41 Median Landscaping (Williams Rd to South of Estero Parkway) Contract,"US 41 Median Landscaping (Williams Rd to South of Estero Parkway) Contract. Action: Approved EC 2019-66 STA-42 in the amount of $236,405 for P & T Lawn & Tractor Services, Inc. to install landscaping along US 41 from Williams Road to south of Estero Parkway, approve a $23,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on beh...","Approved EC 2019-66 STA-42 in the amount of $236,405 for P & T Lawn & Tractor Services, Inc. to install landscaping along US 41 from Williams Road to south of Estero Parkway, approve a $23,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)","Approved EC 2019-66 STA-42 in the amount of $236,405 for P & T Lawn & Tractor Services, Inc. to install landscaping along US 41 from Williams Road to south of Estero Parkway, approve a $23,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)","Approved EC 2019-66 STA-42 in the amount of $236,405 for P & T Lawn & Tractor Services, Inc. to install landscaping along US 41 from Williams Road to south of Estero Parkway, approve a $23,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)",,,Detected,Williams Road to south of Estero Parkway,EC 2019-66,,"US 41 from Williams Road to south of Estero Parkway, Estero, FL","US 41 from Williams Road to south of Estero Parkway, Estero, FL",26.434255,-81.814695788461,0.95,TD/CS,02072024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/02072024%20minutes.pdf,AgendaItemLocation
River Ranch Road Easement Acquisition Services Contract,Village Council,Regular Meeting,Village Council,2024-02-07,2024-02-07,2024,Accepted,1081,6,Contract Approval,infrastructure,River Ranch Road Easement Acquisition Services Contract,"River Ranch Road Easement Acquisition Services Contract. Action: Approved EC 2024-06 STA-03 in the amount of $200,600 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the River Ranch Road Improvements Project, approve a $20,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the V...","Approved EC 2024-06 STA-03 in the amount of $200,600 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the River Ranch Road Improvements Project, approve a $20,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)","Approved EC 2024-06 STA-03 in the amount of $200,600 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the River Ranch Road Improvements Project, approve a $20,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)","Approved EC 2024-06 STA-03 in the amount of $200,600 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the River Ranch Road Improvements Project, approve a $20,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)",,,Detected,,EC 2024-06,,"River Ranch Road from Williams Road to Corkscrew Road, Estero, FL","River Ranch Road from Williams Road to Corkscrew Road, Estero, FL",26.425785502152,-81.794620501714,0.95,TD/CS,02072024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/02072024%20minutes.pdf,AgendaItemLocation
Sandy Lane Improvements,Village Council,Regular Meeting,Village Council,2024-02-07,2024-02-07,2024,Accepted,1080,5,Contract Approval,infrastructure,Sandy Lane Easement Acquisition Services Contract,"Sandy Lane Easement Acquisition Services Contract. Action: Approved EC 2024-06 STA -02 in the amount of $47,200 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Sandy Lane Bike/Ped Improvements Project, approve a $4,700 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Villa...","Approved EC 2024-06 STA -02 in the amount of $47,200 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Sandy Lane Bike/Ped Improvements Project, approve a $4,700 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)","Approved EC 2024-06 STA -02 in the amount of $47,200 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Sandy Lane Bike/Ped Improvements Project, approve a $4,700 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)","Approved EC 2024-06 STA -02 in the amount of $47,200 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Sandy Lane Bike/Ped Improvements Project, approve a $4,700 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)",,,Detected,,EC 2024-06,,Sandy Lane,"Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL",26.43663000848,-81.804926512673,0.9,TD/CS,02072024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/02072024%20minutes.pdf,AgendaItemLocation
Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero,Village Council,Regular Meeting,Village Council,2024-01-24,2024-01-24,2024,Accepted,1073,7,Contract Approval,institutional,Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero,Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero. Action: Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,,,Detected,,,,"20897 Three Oaks Parkway, Estero, FL","20897 Three Oaks Parkway, Estero, FL",26.436576930078,-81.784532881242,1.0,TD/CS,01242024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01242024%20minutes.pdf,AgendaItemLocation
Sandy Lane Improvements,Village Council,Regular Meeting,Village Council,2024-01-24,2024-01-24,2024,Accepted,1071,5,Contract Approval,infrastructure,Sandy Lane Construction Engineering Inspection Services Contract,"Sandy Lane Construction Engineering Inspection Services Contract. Action: Approved EC 2024-09 in the amount of $490,560.65 for HighSpans Engineering, Inc. to provide construction engineering and inspection services for the Sandy Lake Bike/Ped Improvements, approve a $49,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behal...","Approved EC 2024-09 in the amount of $490,560.65 for HighSpans Engineering, Inc. to provide construction engineering and inspection services for the Sandy Lake Bike/Ped Improvements, approve a $49,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute and subsequent amendments which do not require an increase in the not to exceed budget (with contingency)","Approved EC 2024-09 in the amount of $490,560.65 for HighSpans Engineering, Inc. to provide construction engineering and inspection services for the Sandy Lake Bike/Ped Improvements, approve a $49,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute and subsequent amendments which do not require an increase in the not to exceed budget (with contingency)","Approved EC 2024-09 in the amount of $490,560.65 for HighSpans Engineering, Inc. to provide construction engineering and inspection services for the Sandy Lake Bike/Ped Improvements, approve a $49,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute and subsequent amendments which do not require an increase in the not to exceed budget (with contingency)",,,Detected,,EC 2024-09,,Sandy Lane,"Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL",26.43663000848,-81.804926512673,0.9,TD/CS,01242024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01242024%20minutes.pdf,AgendaItemLocation
Septic to Sewer,Village Council,Regular Meeting,Village Council,2024-01-03,2024-01-03,2024,Accepted,1066,7,Contract Approval,infrastructure,"Estero Bay Village, Sunny Groves & Cypress Bend Gravity Sewer Smoke & Closed- circuit Television (CCTV) Testing Change Order No. 1","Estero Bay Village, Sunny Groves & Cypress Bend Gravity Sewer Smoke & Closed- circuit Television (CCTV) Testing Change Order No. 1. Action: Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cos","Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cos","Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cos","Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cos",,,Detected,National Water Main Cleaning Company,EC 2022-83,,Cypress Bend Septic Area,"Cypress Bend, Estero, FL",26.4469,-81.8116,0.9,TD/CS,01032024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,AgendaItemLocation
"Approval of code enforcement lien compromise payment from Pro Energy, LLC",Village Council,Regular Meeting,Village Council,2024-01-03,2024-01-03,2024,Accepted,1063,4,Unknown,infrastructure,"Approval of code enforcement lien compromise payment from Pro Energy, LLC","Approval of code enforcement lien compromise payment from Pro Energy, LLC. Action: Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made","Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made","Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made",,,,Detected,Pro Energy,,,"8800 Corkscrew Road, Estero, FL","8800 Corkscrew Road, Estero, FL",26.430882013604,-81.807370969005,1.0,TD/CS,01032024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,AgendaItemLocation
"Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-12-12,2023-12-12,2023,Accepted,69,1,Ordinance,commercial,"Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final...","Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action A. Action: No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol C...","No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - December 12, 2023 Page 2 of 4 Applicant seeks zoning amendment for Parcel ""G"" in the Plaza Del Sol CPD to allow for a mixed-use project that includes storage, hotel, retail / restaurant / medical office, and associated infrastructur","No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - December 12, 2023 Page 2 of 4 Applicant seeks zoning amendment for Parcel ""G"" in the Plaza Del Sol CPD to allow for a mixed-use project that includes storage, hotel, retail / restaurant / medical office, and associated infrastructur",,,,,June 8,,4,"10251 Arcos Avenue, Estero, FL","10251 Arcos Avenue, Estero, FL",26.43347675746,-81.785746161726,1.0,,20231212 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2023/20231212%20PZDB%20Minutes.pdf,AgendaItemLocation
Estero on the River,Village Council,Regular Meeting,Village Council,2023-12-06,2023-12-06,2023,Accepted,1216,6,Contract Approval,open_space,River Oaks Preserve Preliminary Design Contract,"River Oaks Preserve Preliminary Design Contract. Action: Approved award of Supplemental Task Authorization 02 to Contract EC 2022-35 to Kimley Horn to provide preliminary design services for the River Oaks Preserve for $97,900, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council","Approved award of Supplemental Task Authorization 02 to Contract EC 2022-35 to Kimley Horn to provide preliminary design services for the River Oaks Preserve for $97,900, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council","Approved award of Supplemental Task Authorization 02 to Contract EC 2022-35 to Kimley Horn to provide preliminary design services for the River Oaks Preserve for $97,900, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council","Approved award of Supplemental Task Authorization 02 to Contract EC 2022-35 to Kimley Horn to provide preliminary design services for the River Oaks Preserve for $97,900, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council",,,Detected,,EC 2022-35,,River Oaks Preserve,"River Oaks Preserve, Estero, FL",26.4420079,-81.7993579,1.0,TD/CS,12062023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/12062023%20minutes.pdf,AgendaItemLocation
Sandy Lane Improvements,Village Council,Regular Meeting,Village Council,2023-11-15,2023-11-15,2023,Accepted,1048,4,Contract Approval,infrastructure,Sandy Lane Design & Permitting Contract Change Order,"Sandy Lane Design & Permitting Contract Change Order. Action: Approved Change Order Number 2 in the amount of $159,754.77 for Atkins to provide additional services to complete the design and permit of the Sandy Lake Bike/Ped Improvements","Approved Change Order Number 2 in the amount of $159,754.77 for Atkins to provide additional services to complete the design and permit of the Sandy Lake Bike/Ped Improvements","Approved Change Order Number 2 in the amount of $159,754.77 for Atkins to provide additional services to complete the design and permit of the Sandy Lake Bike/Ped Improvements","Approved Change Order Number 2 in the amount of $159,754.77 for Atkins to provide additional services to complete the design and permit of the Sandy Lake Bike/Ped Improvements",,,Detected,,,,Sandy Lane,"Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL",26.43663000848,-81.804926512673,0.9,TD/CS,11152023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/11152023%20minutes.pdf,AgendaItemLocation
"Hilton Garden Inn - Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Boulevard, a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Boulevard adjacent to the Estero Fire Station. Ap...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-11-14,2023-11-14,2023,Accepted,66,1,Vote,infrastructure,"Hilton Garden Inn - Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Boulevard, a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Boulevard adjacent to the Estero Fire Station. Ap...","Hilton Garden Inn - Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Boulevard, a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Boulevard adjacent to the Estero Fire Station. Applicant . Action: Approved Development Order with staff stipulations, the addition of signs for cautioning people to watch for pedestrians, provide extra glass on the west elevation, approval of the most current plans submitted, excluding the monumen...","Approved Development Order with staff stipulations, the addition of signs for cautioning people to watch for pedestrians, provide extra glass on the west elevation, approval of the most current plans submitted, excluding the monument sign in the Development Order","Approved Development Order with staff stipulations, the addition of signs for cautioning people to watch for pedestrians, provide extra glass on the west elevation, approval of the most current plans submitted, excluding the monument sign in the Development Order","Approved Development Order with staff stipulations, the addition of signs for cautioning people to watch for pedestrians, provide extra glass on the west elevation, approval of the most current plans submitted, excluding the monument sign in the Development Order",,,See minutes,,DOS2020-E002,6,"8009 Sweetwater Ranch Boulevard, Estero, FL","8009 Sweetwater Ranch Boulevard, Estero, FL",26.411810375942,-81.809483711519,1.0,,20231114 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2023/20231114%20PZDB%20Minutes.pdf,AgendaItemLocation
US 41 North Monument Sign Contract,Village Council,Regular Meeting,Village Council,2023-11-01,2023-11-01,2023,Accepted,1042,4,Contract Approval,infrastructure,US 41 North Monument Sign Contract,"US 41 North Monument Sign Contract. Action: Approved EC 2019-66 Supplemental Task Authorization (STA) - 42 for the engagement of P&T Lawn and Tractor to construct and install a monument sign on US 41 at a total cost of $66,675, approve a contingency fund amount of $6,700 (an amount equal to 10% of the total project cos","Approved EC 2019-66 Supplemental Task Authorization (STA) - 42 for the engagement of P&T Lawn and Tractor to construct and install a monument sign on US 41 at a total cost of $66,675, approve a contingency fund amount of $6,700 (an amount equal to 10% of the total project cos","Approved EC 2019-66 Supplemental Task Authorization (STA) - 42 for the engagement of P&T Lawn and Tractor to construct and install a monument sign on US 41 at a total cost of $66,675, approve a contingency fund amount of $6,700 (an amount equal to 10% of the total project cos","Approved EC 2019-66 Supplemental Task Authorization (STA) - 42 for the engagement of P&T Lawn and Tractor to construct and install a monument sign on US 41 at a total cost of $66,675, approve a contingency fund amount of $6,700 (an amount equal to 10% of the total project cos",,,Detected,,EC 2019-66,,US 41 / Tamiami Trail,"US 41 from Williams Road to Estero Parkway, Estero, FL",26.434255,-81.814695788461,0.9,TD/CS,11012023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/11012023%20minutes.pdf,AgendaItemLocation
