Filename,Meeting Date,ArcGIS_Date,Meeting Type,Location,Start Time,End Time,Action Taken,Staff Code,Status,Document_Link
11042020 Council Meeting Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:44 am,"Approved the Consent Agenda. | Adopted Resolution 2020-23. | Approved the Village | Appointed applicant Kristin Jeannin for an interim term expiring March 31, 2021 or upon the effective date of the Land Development Code.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11042020%20Council%20Meeting%20Minutes.pdf
100915 Workshop Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/100915%20Workshop%20Approved%20Minutes.pdf
100715 Regular Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/100715%20Regular%20Meeting%20Approved%20Minutes.pdf
10202021 minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,1:22 pm,"Approved agenda. | Approved the Consent Agenda. | Approved the award of Supplemental Task Authorization 10 to Contract EC 2020-32 to Johnson Engineering to provide engineering service to The Village of Estero for $98,000, approve a 10% contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero | Approved Ordinance 2021-10 with the additional con dition number 26 and the revisio n to condition 19 regarding maintenance. | Approved Resolution 2021-19.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10202021%20minutes.pdf
11162022 minutes.pdf,"November 16, 2022",2022-11-16,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,12:53 pm,"Approved the Consent Agenda . | A pprove d Greater Estero Chamber of Commerce approval of financial suppor t of $12,500 remaining balance for Strategic Plans for Futur e Growth and Impact. | Approved Resolution No. 2022- 35. | Approved Resolution No. 2022- 36.",ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11162022%20minutes.pdf
20191016 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. 3. | Approved the Consent Agenda. 6. CONSIDERATION OF ITEMS DEFERRED FROM CONSENT AGENDA: None. 7. FIRST READING OF ORDINANCE: (a) Ordinance No. 2019-29 An Ordinance of the Village | Passed first reading of Ordinance No. 2019-29. | Adopted Resolution No. 20 19-22. | Approved the lien mitigation request from Mr. Brace releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000 and $90 for administrative cost.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/20191016%20Council%20Meeting%20Approved%20Minutes.pdf
09182024 minutes.pdf,"OCTOBER 2, 2024",2024-10-02,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,6:25 pm,"Approved consent agenda. Village | Passed first reading and schedule second reading for October 2, 2024.",ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09182024%20minutes.pdf
2019-01-09 Council Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-01-09%20Council%20Meeting%20Approved%20Minutes.pdf
07052023  minutes.pdf,"July 5, 2023",2023-07-05,Village Council,"Sandy Lane, Estero, FL",9:30 am,3:16 pm,"Approv ed the Consent Agenda. Vot e: (Roll Call) Aye: | Adopted Resoluti on No. 2023- 12. | Approved award of Suppleme ntal Task Authorization 06 to Contract EC 2022- 38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $146,340, approve a $14,600 contingency for additional services that may be required to complete the project and authorize the Village Manager to sign the STA and other additional impleme nting documents within the scope of the STA on behalf of the Village of Estero | App roved of RFB 2023- 07, Sandy Lane Path Prefabricated Bridge to Contech Engine ered Solutions, LLC to provide the bridge as provided in the contract, at a grand total c",ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/07052023%20%20minutes.pdf
11032021 minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"Williams Road and Via Coconut Point, Estero, FL",9:30 am,12:08 pm,"Approved agenda. | Approved the Consent Agenda. | Approved the award of Request for Bids No. RFB 2021-03, Via Coconut Point & Williams Road Roundabout Landscaping & Irrigation for the Village of Estero to O’Donnell Landscapes, Inc. to provide landscaping and irrigation work at a cost of $120,181, approve a contingency fund amount of $12,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, authorize the Village Manager to execute the contract documents on behalf of the Village of Estero | Approved the award of Supplemental Task Authorization (STA) - 02 Contract EC 2020-72 with DRMP, Inc. to provide Construction Plan and Permitting services",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11032021%20minutes.pdf
11052025.pdf,"November 19, 2025",2025-11-19,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:23 am,"Approved consent agenda . | Approved the purchase of 0.14 State Freshwater Herbaceous Mitigation Credits in the amount of $16,800 from the Big Cypress Mitigation Bank (the “Bank”) for the Williams Rd./Atlantic Gulf Blvd. intersection improvement project and authorize the Village Manager to sign the Mitigation Credit Supply Agreement with the Big Cypress Mitigation Bank and other additional implementing documents on behalf of the Village of Estero | Adopted Ordinance No. 2025- 14 on first reading and setting second reading and",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11052025.pdf
Cancel October 5 Council Meeting.pdf,"October 5, 2022",2022-10-05,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,,Meeting Cancelled,,Cancelled,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/Cancel%20October%205%20Council%20Meeting.pdf
02242016 minutes.pdf,"MARCH 16, 2016",2016-03-16,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved the agenda with the removal of agenda item 6(A). | Approved the Notice of Competitive Negotiation. | Approved first reading of Ordinance No. 2016-02. | Authorized the Mayor to sign the letter. | Approved the agenda.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/02242016%20minutes.pdf
04202022 minutes.pdf,"April 20, 2022",2022-04-20,Village Council,"Williams Road and Broadway Avenue, Estero, FL",9:30 am,Unknown,"Approved agenda with the deletion of Action Item 7e . | Approved the Consent Agenda . Village | Adopted Resolution No. 2022- 08 to purchas e the 10 -acre vacant parcel, commonly known as “River Oaks” at the east end of Broadway Avenue. | Amendme nt One to Contract No. EC 2020- 31 for Estero on the River Structure Demolition and updating contract to keep structure #6, the bomb shelter . | Approved the contract EC 2020- 48 STA 10 with CW3 Engineering to provide de sign and permitting services for the Williams Road Bicycle/Pedestrian Improvements Project in the amount of $358,790, approve a contingency fund amount of $36,000 (an amount equal to 10% of the total project",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04202022%20minutes.pdf
2019-02-20 Council Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-02-20%20Council%20Meeting%20Approved%20Minutes.pdf
2020-01-08 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"4410 Coconut Road, Estero, FL",9:30 am,Unknown,"Approved the agenda as revised: Continue until January 22, 2020, 9:30 a.m., Agenda Item 9 (a) Ordinance No. 2019-30 Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida. Village | Approved the Consent Agenda. | (1) Approved the contract with CW3 Engineering, Inc. to provide professional engineering services to proceed with the planning, design and permitting services work required for the River Ranch Road Improvements. (2) Authorized the Village Manager to execute the contract on behalf ofthe | Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment of a reduced fine of$2,000.00 and $307.50 for administra",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2020-01-08%20Council%20Meeting%20Approved%20Minutes.pdf
100516 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda as amended. | Approved the Consent Agenda. | Approved the agreement for elections services with Sharon Harrington, the Supervisor of Elections of Lee County, Florida. | Approved the agreement between the Village ofEstero and Kimley-Hom for the Village Traffic Study, as amended. | Adopted Resolution No. 2016-30 and amended Section 5 of the agreement to include ""not to exceed $15,600 annually.""",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/100516%20Council%20Meeting%20Approved%20Minutes.pdf
02012023 minutes.pdf,"FEBRUARY 15, 2023",2023-02-15,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the Consent Agenda . Village | Passed first reading of Zoning Ordinance 2023- 01 and set seco nd reading for February 15, 2023. Village",ON/IN,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/02012023%20minutes.pdf
03192025.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Elected Vice Mayor Ribble as Mayor. Village,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/03192025.pdf
060116 Council Meeting Approved Minutes.pdf,"AUGUST 17, 2016",2016-08-17,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved the agenda. | Approved the Consent Agenda. | Approved Ordinance No. 2016-06. | Approved Ordinance No. 2016-06. | Approved first reading of Ordinance No. 2016-07 and advanced to second reading and | Adopted Resolution No. 2016-11. | Adopted Resolution No. 2016-12. | Adopted Resolution No. 2016-13.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/060116%20Council%20Meeting%20Approved%20Minutes.pdf
2020-05-27 Council Meeting Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Adopted Resolution No. 2020-04 and authorized the Village Mayor to execute the agreement on behalf ofthe Village ofEstero | Adopted Resolution No. 2020-05 and authorized the Village Mayor to execute the agreement on behalf of the Village of Estero | Approved the FPL right of way consent agreement and authorized the Village Manager to execute the agreement and other additional implementing documents within the scope of the agreement on behalf of the Village ofEstero | Authorized the Village Manager to sign the letter of support to Ms. Rona Kay Cradit, Bureau Chief, Office of Criminal Justice Grants, Florida Department ofLaw Enforcement. | Following the titles of Resolut",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2020-05-27%20Council%20Meeting%20Minutes.pdf
07072021 minute.pdf,"July 7, 2021",2021-07-07,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:25 am,"M otion to permit | Approved agenda. . | Approved the consent agenda with the correction to the June 16, 2021 minutes. | Approved Comprehensive Annual Financial Report. | A uthori zed the Village Manager to execute the attached three letters of engagement, or similarly priced alternatives, and other invoices related to these services. Village | A pprove d the lien mitigation request f rom Ms. Hernandez releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $5,000.00 and $327.20 for administrative cost. | P assed first reading of Ordinance 2021 -09 and set second readi ng for July 21, 2021.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/07072021%20minute.pdf
06042025.pdf,"JUNE 18, 2025",2025-06-18,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,7:10 pm,"A pproved consent agenda . | P assed first reading of Ordinance No. 2025- 05 and set second reading for June 18, 2025. | P assed first reading of Ordinance No. 2025- 04 and set second reading for July 2, 2025. | P assed first reading of Ordinance No. 2025- 06 and Set | Passed first reading of Ordinance No. 2025- 08 and Set | A pprove d continuance to July 2 , 2025 for Condition 10 only.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/06042025.pdf
060816 Council Workshop Approved Minutes.pdf,"AUGUST 17, 2016",2016-08-17,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved the revised agenda.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/060816%20Council%20Workshop%20Approved%20Minutes.pdf
041917 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda as revised. | Approved the Consent Agenda. | Accepted the audit report. | Appointed Robert King to fill the unexpired term of Ned Dewhirst; term expiration date of3/31/2018. | Approved the vacation of part of a drainage easement for Estero Veterinary Clinic and adopted Resolution No. 2017-10. | Approved the request for reimbursement in the amount of $2,869.47. | Supported Option B and the lease agreement will be brought back to the next",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/041917%20Council%20Meeting%20Approved%20Minutes.pdf
2020-03-04 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Approved the Consent Agenda. | Authorized the Village Manager and | Adopted Resolution No. 2020-01. | Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment ofa reduced fine of$15,000 and $331 .50 for administrative costs. | (1) Authorized | Reappointed Board Members William Glass and Michael Sheeley to the Design Review Board for two-year terms expiring March 31, 2022 and reappointed Barry Jones as Design Review Board Chairman for one year. | Reappointed Board Members Anthony Gargano and John Yarbrough to the Planning and Zoning Board for three-year terms expiring March 31, 2023 and reappointed Scotty Wood as",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2020-03-04%20Council%20Meeting%20Approved%20Minutes.pdf
07142021 Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:02 am,Approved agenda. | Approved Ordinance 2021-07.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/07142021%20Minutes.pdf
050416 Council Meeting Approved Minutes.pdf,"MAY 18, 2016",2016-05-18,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda as revised by updated agenda provided, adding agenda item 8 (c). | Approved the Consent Agenda. | Approved first reading of Ordinance No. 2016-05 and advanced to second reading on May 18, 2016. | Awarded RFQ 2016-01 -Comprehensive Plan to LaRue Planning & Management Services, Inc. and authorized the Village Manager, with the assistance of",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/050416%20Council%20Meeting%20Approved%20Minutes.pdf
02072024 minutes.pdf,"FEBRUARY 21, 2024",2024-02-21,Village Council,"Sandy Lane, Estero, FL",9:30 am,Unknown,"Approved consent agenda. | Approved schedule for Planning Zoning and Design Board appointments. Village | Adopted Resolution No. 2024- 03. | Approved EC 2024- 06 STA - 02 in the amount of $47,200 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Sandy Lane Bike/Ped Improvements Project, approve a $4,700 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero | Approved EC 2024- 06 STA -03 in the amount of $200,600 for Florida Acquisition &",ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/02072024%20minutes.pdf
100417 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Adopted Resolution No. 2017-27 as amended, with a final ad valorem operating millage rate of 0. 7798 mills, at 5:39 p.m. | Adopted Resolution No. 2017-28, at 5:43 p.m. | Ordinance No. 2017-07 was tabled indefinitely. | Adopted Ordinance No. 2017-08. | Passed first reading of Ordinance No. 2017-09. | Adopted Resolution No. 2017-29. | Adopted Resolution No. 2017-29.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/100417%20Council%20Meeting%20Approved%20Minutes.pdf
111616 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Approved the Consent Agenda. | Passed first reading of Ordinance No. 2016-14. | Scheduled second reading and | Adopted Resolution No. 2016-35, creating a Special Revenue Fund for | Adopted Resolution No. 2016-36, clarifying the effective date of October 1, 2015 for paid time off (vacation) and retirement contributions as provided in the 2015-2016 Budget and in the personnel policies. | The Village will join the organization based on the fee waiver for the first year. | Passed first reading and approved transmitting amendments to the state for further review. | Passed first reading of Ordinance No. 2016-16.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/111616%20Council%20Meeting%20Approved%20Minutes.pdf
01202021 minutes.pdf,"FEBRUARY 17, 2021",2021-02-17,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:41 am,Approved to permit | Approved the Consent Agenda. | Approved Ordinance 2021- 01.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/01202021%20minutes.pdf
2019-06-26 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"Estero Parkway, Estero, FL",9:30 am,Unknown,"Approved the agenda. Village | Approved the Consent Agenda. | Adopted Resolution No. 2019-06. | Approved a letter to be sent to Lee County, from Village Manager Sarkozy, requesting Lee County disaster response services, in the case of a Lee County declared emergency. | Approved Supplemental Task Authorization (STA)-3 under CN 2018-02 Miscellaneous Professional Services to Kisinger Campo & Associates, Corp. to perform a suite of construction, engineering and inspection (CEI) services for the Estero Parkway Roadway Improvements Project. | (1) Adopted Resolution No. 2019-07 Approving the First Budget Amendment for Fiscal Year 201 8-2019; and Providing an Effective Date. (2) Approved award of Re",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-06-26%20Council%20Meeting%20Approved%20Minutes.pdf
Cancel April 1 Council Meeting.pdf,"April 1, 2020",2020-04-01,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,,Meeting Cancelled,,Cancelled,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/Cancel%20April%201%20Council%20Meeting.pdf
11132015 minutes.pdf,"NOVEMBER 13, 2015",2015-11-13,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,SS,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11132015%20minutes.pdf
2019-05-01 Council Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-05-01%20Council%20Meeting%20Approved%20Minutes.pdf
01132021 Minutes.pdf,"January 13, 2021",2021-01-13,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:03 am,,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/01132021%20Minutes.pdf
030216 Council Workshop Approved Minutes.pdf,"MARCH 16, 2016",2016-03-16,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved the agenda.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/030216%20Council%20Workshop%20Approved%20Minutes.pdf
111815 Regular Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/111815%20Regular%20Meeting%20Approved%20Minutes.pdf
03132024 minutes.pdf,"MARCH 20, 2024",2024-03-20,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:48 am,,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/03132024%20minutes.pdf
10212020 Council Meeting Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,12:45 pm,Approved the Agenda with the addition of the C.I.P. workshop. Village | Approved the Consent Agenda. | Approved the 2020-2021 Interlocal Agreement between Village ofEstero and Lee County for Stray Animal Control Services.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10212020%20Council%20Meeting%20Minutes.pdf
2172021 minutes.pdf,"February 17, 2021",2021-02-17,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:11 am,"Approved agenda. | Approved the Consent Agenda. | Approved to conduct interviews of new applicants on February 24, 2021. Village | Pass First Reading and schedule Second Reading for March 3 or March 10, 2021. S taff Presentation/Comments: Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2172021%20minutes.pdf
051717 Council Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/051717%20Council%20Meeting%20Approved%20Minutes.pdf
05212025.pdf,"May 21, 2025",2025-05-21,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:36 am,"Approved consent agenda . | Adopted Resolution No. 2025- 04. Village | Approved Zoning Resolution No. 2025- 07. | Approved Resolution No. 2025- 08. | Adopted the Second Amendment. | Adopted the Resolution No. 2025- 09. | Passed first reading and schedule second reading for June 4, 2025.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/05212025.pdf
06152022 minutes.pdf,"June 15, 2022",2022-06-15,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,1:46 pm,"Approved agenda . | Approved the contract with N. Harris Computer Corporation to provide “CityView” software for Community Development for an estimated cost of $397,379, approve a contingency fund amount of $49,153 (an amount equal to 15% of the total project cost minus annual fees) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract including revisions resulting from fi nal negotiations and related documents including annual renewal (maintenance) fee on behalf of the | Approved Resolution No. 2022- 11. | Approved Resolution No. 2022- 17. Village | Passed first reading of Ordinance No. 2022- 04 and set second reading for July 6, 2022.",ON/KE,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/06152022%20minutes.pdf
112315 Workshop Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/112315%20Workshop%20Approved%20Minutes.pdf
102517 Council Zoning Hearing and Comp Plan Workshop Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/102517%20Council%20Zoning%20Hearing%20and%20Comp%20Plan%20Workshop%20Approved%20Minutes.pdf
12172025.pdf,"January 21, 2026",2026-01-21,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,,Meeting Cancelled,,Cancelled,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/12172025.pdf
10072020 Council Meeting Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:11 am,Approved the Agenda. | Approved the Consent Agenda. | Adopted Resolution No. 2020-22 | Approved the Village ofEstero Style Guide | Approved the,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10072020%20Council%20Meeting%20Minutes.pdf
2019-01-30 Council Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-01-30%20Council%20Meeting%20Approved%20Minutes.pdf
11172021 minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,12:08 pm,"Approved agenda. | Approved the Consent Agenda. | Approved Resolution No. 2021-23. | Passed First Reading and sch eduled Second Reading for December 1, 2021. | Approved Ordinance No. 2021-12",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11172021%20minutes.pdf
05032023 minutes.pdf,"April 19, 2023",2023-04-19,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:50 am,"Approved the Consent Agend a. | A pproved Village | Approved Resolution No. 2023- 10. | Passed fir st reading of Ordinance No. 2023- 05 and set second reading for May 17, 2023.",TY/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/05032023%20minutes.pdf
032015 Workshop Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/032015%20Workshop%20Minutes.pdf
12092020 Council Meeting Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,1:00 pm,Approved the Consent Agenda. | Adopted Resolution 2020-25.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/12092020%20Council%20Meeting%20Minutes.pdf
04062022 minutes.pdf,"APRIL 20, 2022",2022-04-20,Village Council,"Broadway Avenue, Estero, FL",9:30 am,11:10 am,"Approved agenda. Vo te: (Roll Call) Aye: | Approved the Consent Agenda . | Adopted Resolution 2022- 03 which approves the updated Multijurisdictional Program for | Approved final P lat for Estero Crossing . | Approved final Pla t for Rivercreek Phase One (formerly known as Corkscrew Crossing) . | Approved Resolution No. 2022- 05 to purchase the 10- acre vacant parcel, commonly known as “River Oaks” at the east end of Broadway Avenue. | Approved Resolution No. 2022- 06 Commercial Contract for the Purchase of Real Estate from Gess Family Partnership + Gulf Coast Driving Range LLC, Located at 9000 Wi lliams Road, Estero, Florida . | Approved the following list of short",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04062022%20minutes.pdf
070115 Regular Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/070115%20Regular%20Meeting%20Approved%20Minutes.pdf
030117 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | A hearing will be scheduled to speak to two Board Members, one on the Planning and Zoning Board and one on the Design Review Board, regarding whether they should be removed. | Approved the Consent Agenda. | Approved the agreement with J .R. Evans Engineering for preparation of a Stormwater Master Plan for the Village, to be completed by approximately July 2018.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/030117%20Council%20Meeting%20Approved%20Minutes.pdf
052416 Council Workshop Meeting Approved Minutes.pdf,"May 24, 2016",2016-05-24,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/052416%20Council%20Workshop%20Meeting%20Approved%20Minutes.pdf
