Filename,Meeting Date,ArcGIS_Date,Meeting Type,Location,Start Time,End Time,Action Taken,Staff Code,Status,Document_Link
080217 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Authorized Vice Mayor Ribble to participate via telecommunications. | Agenda item 6 (g) Clarification of the Parks and Recreation Liaison Role was added to the agenda. | Approved the agenda as revised. | Approved the Consent Agenda. | Adopted Resolution No. 2017-20 adopting the Capital Improvement Program for fiscal year 2017-2018. | Adopted Resolution No. 2017-21. | Resolution No. 2017-09 was continued. | Approved release ofRFQ 2017-01, which solicits proposals for the Village's first Land Development Code. | Approved First Amendment agreement extending the expiration date of the Local Option Gas Taxes Interlocal Agreement with Lee County to August 31, 2019. | Adopted Resolution No. 2017-22",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/080217%20Council%20Meeting%20Approved%20Minutes.pdf
07202022 minutes.pdf,"SEPTEMBER 8, 2022",2022-09-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:49 am,"Approved agenda . | Adopted Resolution No. 2022- 21. | Adopted Resolution No. 2022- 19. | P assed second reading of Ordinance No. 2022-05 with Map 2A-1 and ordinance shall take effect immediately upon adoption, for implementation for the next regular Village",ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/07202022%20minutes.pdf
101817 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Approved the Consent Agenda. | Adopted Resolution No. 2017-19 as revised. | Approved Amendment One to increase Contract EC 2017-04- Stormwater Master Plan with JR Evans in the amount of $40,000.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/101817%20Council%20Meeting%20Approved%20Minutes.pdf
2019-01-23 Council Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-01-23%20Council%20Meeting%20Approved%20Minutes.pdf
06212023  minutes.pdf,"June 21, 2023",2023-06-21,Village Council,"8801 Corkscrew Road, Estero, FL",9:30 am,12:40 pm,"Approved the Consent Agenda. Vot e: (Roll Cal l) Aye: | Approved STA 02 to Contract EC 2022- 29 with Weston & Sampson to design and permit the extension of utilities to Cypress Park Circle for $311,650, approve a $31,000 contingency (10%) for additional services that may be required to complete the project, and authorize the Village Village | Approved award of Request for Bi ds No. RFB 2023- 04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may o",ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/06212023%20%20minutes.pdf
Cancel July 5 Council Meeting.pdf,"ly 5, 2017",,Village Council,,9:30 am,,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/Cancel%20July%205%20Council%20Meeting.pdf
11012023 minutes.pdf,"NOVEMBER 15, 2023",2023-11-15,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:30 am,Approved consent agenda with agenda.,ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11012023%20minutes.pdf
02242021 minutes.pdf,"February 24, 2021",2021-02-24,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:14 am,Approved agenda . | Approved Resolution No. 2021- 02 and authorize the Village to modify the Resolution if needed.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/02242021%20minutes.pdf
10162024  Minutes.pdf,"NOVEMBER 6, 2024",2024-11-06,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,1:51 pm,"Approved consent agenda with the correction of the minutes . | Approved the renewal contracts with Ronald L. Book, P.A. (annual cost: $42,350) and JEJ & Associates, Inc. (annual cost: $43,560) to provide professional State Legislative and Executive Branch Lobbying Services for a one -year period. Grant the Village Manager the authority to reauthorize the renewal of these contracts for three additional one -year terms under the same terms and conditions, if doing so is in the best interest of the Village of Estero, approve a contingency fund amount of $4,235 for Ronald L. Book, P.A. and $4,356 for JEJ & Associates, Inc. totaling $8,591 (an amount equal to 10% of the total project cost) to cov",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10162024%20%20Minutes.pdf
120716 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Approved the Consent Agenda. | Concurred with the Competitive Negotiations | Tabled until December 20, 2016. | Approved the mowing contract with Superior Landscaping and Lawn Service, Inc. | Approved the landscaping contract with Hannula Landscaping & Irrigation, Inc. | Approved the irrigation contract with P&T Lawn & Tractor Service, Inc. | Approved the street sweeping contract with USA Services of Florida, Inc. | Passed second reading and adopted Ordinance No. 2016-14. | Passed second reading and adopted Ordinance No. 2016-13, with additional requirement, drafted by Village Land Use Attorney Stroud, for a plat approval in Condition #3, supporting the Planning and Zon",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/120716%20Council%20Meeting%20Approved%20Minutes.pdf
