Filename,Meeting Date,ArcGIS_Date,Meeting Type,Location,Start Time,End Time,Action Taken,Staff Code,Status,Document_Link
01202016 minutes.pdf,"January 20, 2016",2016-01-20,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",10:00 am,10:37 am,Approved the agenda | Approved the Consent Agenda | Adopted Ordinance No. 2016-01 | Continued this item to a date when the staff report is available | Approved the Council Appointments list | Approved the proposal from Trebilcock Consulting Solutions and waived the competitive bidding procedures outlined in the Village purchasing ordinance | Approved the application going forward as meeting the criteria for an exception to the Zoning in Progress Resolution | Adopted Ordinance No. 2015-21 as revised and described by Community Development Director Gibbs,SS,Accepted,https://your-website.com/estero-pdfs/01202016 minutes.pdf
01202021 minutes.pdf,"January 20, 2021",2021-01-20,Village Council,"Corkscrew Road and US 41, Estero, FL",9:30 am,11:41 am,"Approved to permit Councilmembers Levitan, and Wilson to participate remotely in Zoom Presentation, and to combine agenda items 7(a)/6(b) | Approved the Consent Agenda | Approved Motion to approve award of Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services as provided in the contract for a one-year period, at a rate of $127,075.00 per year, authorize the Village Manager to renegotiate and execute the renewal of this contract for three additional one year terms under the same terms and conditions, which would include adding Estero Parkway maintenance and US 41 maintenance, if doing so is in the best interest of the Village of Estero, approve a contingency fund amount of $13,000 (10% contingency) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council | Approved Ordinance 2020-11 with the change to Section 2, adding one additional condition that says the Village Manager may waive the agreement that the traffic light be operational prior to the first certificate of completion for the vertical development, if the Village Manager determines that the light will be operational within four months | Motion to approve Estero Crossing - Corkscrew Road/Puente Lane Traffic Signal Agreement with the revision to remove the last s",TD/CS,Accepted,https://your-website.com/estero-pdfs/01202021 minutes.pdf
01222025 Minutes.pdf,"January 22, 2025",2025-01-22,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:21 am,Approved agenda | Approved consent agenda | Approved the Alternate Master Plan | Adopted Ordinance No. 2025-01,TD/CS,Accepted,https://your-website.com/estero-pdfs/01222025 Minutes.pdf
01242024 minutes.pdf,"January 24, 2024",2024-01-24,Village Council,"20897 Three Oaks Parkway, Estero, FL",9:30 am,12:39 pm,"Approved agenda | Approved consent agenda | Approved Interlocal Agreement for Election Services with the Supervisor of Elections | Approved EC 2024-10 in the amount of $151,440 for CW3 Engineering, Inc. to provide construction engineering and inspection services for the Estero on the River Phase 1 Improvements, approve a $15,000 contingency for additional services that may be required to complete the project and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute and subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Approved EC 2024-09 in the amount of $490,560.65 for HighSpans Engineering, Inc. to provide construction engineering and inspection services for the Sandy Lake Bike/Ped Improvements, approve a $49,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute and subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Adopted Resolution No. 2024-02 | Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway | Approved Recreation Lease Agreement with the Lee Coun",TD/CS,Accepted,https://your-website.com/estero-pdfs/01242024 minutes.pdf
01272021 minutes.pdf,"January 27, 2021",2021-01-27,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,12:45 pm,"Approved to permit Councilmembers Levitan, Wilson, and McLain to participate remotely in Zoom Presentation | Approved agenda | Approved Resolution No. 2021-01 | Adopted the Land Development Code Ordinance 2020-10 and Official Zoning Map as amended in the ""Addendum of Recommended Changes"" document dated January 19, 2021 as well as the addition of a sentence to Table 3-405.C that states ""A stand-alone car wash which has applied but has not been determined to be complete for an application for Development Order prior to January 27, 2021, and which submits a complete application for Development Order prior to April 27, 2021, a permitted use and not a special exception use shall apply.""",TD/CS,Accepted,https://your-website.com/estero-pdfs/01272021 minutes.pdf
0162021 Minutes.pdf,"January 6, 2021",2021-01-06,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:26 am,"Approved agenda | Approved the Consent Agenda | Estero Chamber of Commerce approval of financial support for Strategic Plans for Future Growth and Impact. Staff Presentation/Comments: Steve Sarkozy, Village Manager Council Questions or Comments: Councilmember McLain and Mayor Ribble Public Comment: None | Approved motion for financial support Estero Chamber of Commerce Strategic Plans for Future Growth and Impact | Passed first reading of Ordinance No. 2020-11 and schedule second reading/public hearing for January 20, 2020 | Passed first reading of Ordinance No. 2021-01 and schedule second reading/public hearing for January 20, 2020 | Approved motion for a continuance until February 3 with the goal of making a final decision | Adopted Ordinance 2020-07",TD/SS,Accepted,https://your-website.com/estero-pdfs/0162021 Minutes.pdf
020117 Council Meeting  Approved Minutes.pdf,"February 1, 2017",2017-02-01,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,12:24 pm,"Approved the agenda as revised, adding Edison Farms as Agenda Item 10 (c) | Approved the Consent Agenda | Adopted Resolution No. 2017-04 | Staff recommends that: (1) Council request the Village Land Use Attorney to draft a Bonus Density Land Acquisition ordinance for Council review; and (2) Upon applicant revisions of the Pattern Book, schedule Council review at a future meeting for compliance with Zoning Conditions. Village Manager Sarkozy provided a brief explanation. Community Development Director Gibbs addressed staffs request for the Council to provide direction on two items related to the Estero Grande Development Order; the application was currently under review for the ""infrastructure"", meaning the basic road and utilities layout and parcel configuration; no individual parcels have been submitted yet for commercial or residential uses. The staff identified two issues during review that require interpretation and policy direction from the Council: (1) Interpretation of two zoning conditions of Lee County's approval ofEstero Grande in Zoning Resolution Z 14-028. (2) Policy direction on ""Bonus Density,"" density above the standard residential range of 1-6 units per acre. Community Development Director Gibbs spoke to the zoning conditions and noted that staff did not believe that the current Pattern Book satisfied the conditions; the Pattern Book should be revised to more specifically represent what would be built on the site based on the anticipated use of the property. W",SS,Accepted,https://your-website.com/estero-pdfs/020117 Council Meeting  Approved Minutes.pdf
02012023 minutes.pdf,"February 1, 2023",2023-02-01,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:38 am,"Motion to permit Councilmember Wilson to participate remotely in Zoom Presentation | Approved agenda | Approved the Consent Agenda | Passed first reading of Zoning Ordinance 2023-01 and set second reading for February 15, 2023",TD/CS,Accepted,https://your-website.com/estero-pdfs/02012023 minutes.pdf
02022022 minutes.pdf,"February 2, 2022",2022-02-02,Village Council,"Broadway Avenue and Sandy Lane, Estero, FL",9:30 am,12:57 pm,"Approved to permit Village Attorney Burt Saunders to participate remotely in Zoom Presentation | Approved agenda | Approved the Consent Agenda | Adopted Resolution No. 2022-02 | Approved the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project as follows: Number 1 - Atkins North America, Inc.; Number 2 - CW3 Engineering, Inc.; Number 3 - Kimley-Horn and Associates, Inc.; Number 4 - Q. Grady Minor & Associates, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Atkins North America, Inc. to provide professional consulting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project | Approved the consultants ranking for Broadway Avenue West Utilities Extension Project (UEP) as follows: Number 1 - Johnson Engineering, Inc.; Number 2 - Tetra Tech, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Johnson Engineering, Inc. to provide professional consulting services for the Broadway Avenue West Utilities Extension Project (UEP) | Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 - Tetra Tech, Inc.; Number 2 - Johnson Engineering, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Tetra Tech, Inc. to provide professional c",TD/CS,Accepted,https://your-website.com/estero-pdfs/02022022 minutes.pdf
02052025.pdf,"February 5, 2025",2025-02-05,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:08 am,"Approved agenda with the deletion of 6 (b) | Approved consent agenda | Approved Resolution No. 2025-01 to reappoint two (2) Planning, Zoning, and Design Board members for a one-year term | Adopted Ordinance No. 2024-14 with staff revisions",TD/CS,Accepted,https://your-website.com/estero-pdfs/02052025.pdf
