ProjectName,MeetingType,MeetingDate,MeetingYear,Status,ActionTaken,StartTime,StaffCode,Title,MinutesURL,DocDate,LocationName,Latitude,Longitude
Septic to Sewer,Village Council Regular Meeting,2025-10-15,2025,Accepted,"Approved the Florida DEP Standard Grant Agreement for the Estero Orange Park Utility Extension Project (Agreement Number L0188), and V illage",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-10-15,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10012025.pdf,2025-10-01,Cypress Bend Septic Area,26.446900,-81.811600
Septic to Sewer,Village Council Regular Meeting,2025-10-15,2025,Accepted,"Approved the Florida DEP Standard Grant Agreement for the Estero Orange Park Utility Extension Project (Agreement Number L0188), and V illage",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-10-15,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10012025.pdf,2025-10-01,Sunny Grove Septic Area,26.437600,-81.812800
General Council Business,Village Council Regular Meeting,2025-10-15,2025,Accepted,Approved Village,9:30 am,DA/MI,Village Council Meeting Minutes — 2025-10-15,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10152025.pdf,2025-10-15,Estero Village Hall,26.428500,-81.806800
Septic to Sewer,Village Council Regular Meeting,2025-10-15,2025,Accepted,"Approved the Florida DEP Standard Grant Agreement for the Estero Orange Park Utility Extension Project (Agreement Number L0188), and V illage",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-10-15,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10012025.pdf,2025-10-01,Broadway Avenue East UEP,26.442000,-81.805400
Septic to Sewer,Village Council Regular Meeting,2025-10-15,2025,Accepted,"Approved the Florida DEP Standard Grant Agreement for the Estero Orange Park Utility Extension Project (Agreement Number L0188), and V illage",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-10-15,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10012025.pdf,2025-10-01,Estero Bay Village Septic Area,26.440800,-81.822500
General Planning & Zoning,Planning Zoning & Design Board,2025-10-14,2025,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2025-10-14,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/10142025%20PZDB%20Minutes.pdf,2025-10-14,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2025-09-17,2025,Accepted,Adopted Resolution No. 2025-20.,9:30 am,ON/CO,Village Council Meeting Minutes — 2025-09-17,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09172025.pdf,2025-09-17,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2025-09-10,2025,Accepted,Approved consent agenda . | Adopted Resolution No. 2025- 13 and following adoption | Approved Agreement for Tourist Development Tax Funding FY 2025- 2026. Village | Adopted Resolution No. 2025- 16. | Approved agreement between Village of Estero and the Estero Forever Foundation for Happehatchee Complex property management activities. | Approved the renewal of Forerunner floodplain management software for a period of two years 10/1/2025 through 9/30/2027. | Adopted Resolution No. 2025- 21. | Approved Ordinance No. 2025-09.,9:30 am,ON/CO,Village Council Meeting Minutes — 2025-09-10,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09102025.pdf,2025-09-10,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2025-09-09,2025,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2025-09-09,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/09092025%20PZDB%20Minutes.pdf,2025-09-09,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2025-08-12,2025,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2025-08-12,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/08122025%20PZDB%20Minutes.pdf,2025-08-12,Estero Village Hall,26.428500,-81.806800
