meeting_year,canonical_name,source_url,rel_path
2024,20240514 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/05142024%20PZDB%20Minutes.pdf,data/raw/pzdb/2024/20240514 PZDB Minutes.pdf
2024,20240611 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/06112024%20PZDB%20Minutes.pdf,data/raw/pzdb/2024/20240611 PZDB Minutes.pdf
2024,20240709 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/07092024%20PZDB%20Minutes.pdf,data/raw/pzdb/2024/20240709 PZDB Minutes.pdf
2024,20240910 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/09102024%20PZDB%20Minutes.pdf,data/raw/pzdb/2024/20240910 PZDB Minutes.pdf
2024,20241029 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/10292024%20PZDB%20Minutes.pdf,data/raw/pzdb/2024/20241029 PZDB Minutes.pdf
2024,20241112 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/11122024%20PZDB%20Minutes.pdf,data/raw/pzdb/2024/20241112 PZDB Minutes.pdf
2024,20241210 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/12102024%20PZDB%20Minutes.pdf,data/raw/pzdb/2024/20241210 PZDB Minutes.pdf
2025,20250114 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/01142025%20PZDB%20Minutes.pdf,data/raw/pzdb/2025/20250114 PZDB Minutes.pdf
2025,20250211 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/02112005%20PZDB%20Minutes.pdf,data/raw/pzdb/2025/20250211 PZDB Minutes.pdf
2025,20250311 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/03112005%20PZDB%20Minutes.pdf,data/raw/pzdb/2025/20250311 PZDB Minutes.pdf
2025,20250408 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/04082005%20PZDB%20Minutes.pdf,data/raw/pzdb/2025/20250408 PZDB Minutes.pdf
2025,20250513 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/05132005%20PZDB%20Minutes.pdf,data/raw/pzdb/2025/20250513 PZDB Minutes.pdf
2025,20250610 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/06102005%20PZDB%20Minutes.pdf,data/raw/pzdb/2025/20250610 PZDB Minutes.pdf
2025,20250708 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/07082005%20%20%20PZDB%20Minutes.pdf,data/raw/pzdb/2025/20250708 PZDB Minutes.pdf
2025,20250812 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/08122005%20%20%20PZDB%20Minutes.pdf,data/raw/pzdb/2025/20250812 PZDB Minutes.pdf
2025,20250909 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/09092005%20%20%20PZDB%20Minutes.pdf,data/raw/pzdb/2025/20250909 PZDB Minutes.pdf
2025,20251014 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/10142005%20%20%20PZDB%20Minutes.pdf,data/raw/pzdb/2025/20251014 PZDB Minutes.pdf
2025,20251118 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/11182005%20%20%20PZDB%20Minutes.pdf,data/raw/pzdb/2025/20251118 PZDB Minutes.pdf
