ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
Consider Lien Mitigation Request from Joseph Bmce Relating to his Property at 20511 Port Drive in the Village ofEstero,Village Council,Regular Meeting,Village Council,2019-10-16,2019-10-16,2019,Accepted,479,5,Vote,Consider Lien Mitigation Request from Joseph Bmce Relating to his Property at 20511 Port Drive in the Village ofEstero,Consider Lien Mitigation Request from Joseph Bmce Relating to his Property at 20511 Port Drive in the Village ofEstero. Action: Motion failed,Motion failed,Motion failed,Motion failed,,,Detected,Joseph Bmce Relating to his Property at 20511 Port Drive,,,20511 Port Drive,"20511 Port Drive, Estero, FL",26.441797347014,-81.824373072863,1.0,,20191016 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2019%20MINUTES/Council/20191016%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
Consider Lien Mitigation Request from Joseph Bmce Relating to his Property at 20511 Port Drive in the Village ofEstero,Village Council,Regular Meeting,Village Council,2019-10-16,2019-10-16,2019,Accepted,480,6,Vote,Consider Lien Mitigation Request from Joseph Bmce Relating to his Property at 20511 Port Drive in the Village ofEstero,"Consider Lien Mitigation Request from Joseph Bmce Relating to his Property at 20511 Port Drive in the Village ofEstero. Action: Approved the lien mitigation request from Mr. Brace releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000 and $90 for administrative cost","Approved the lien mitigation request from Mr. Brace releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000 and $90 for administrative cost","Approved the lien mitigation request from Mr. Brace releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000 and $90 for administrative cost","Approved the lien mitigation request from Mr. Brace releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000 and $90 for administrative cost",,,Detected,Joseph Bmce Relating to his Property at 20511 Port Drive,,,20511 Port Drive,"20511 Port Drive, Estero, FL",26.441797347014,-81.824373072863,1.0,,20191016 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2019%20MINUTES/Council/20191016%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero,Village Council,Regular Meeting,Village Council,2024-01-24,2024-01-24,2024,Accepted,1073,7,Contract Approval,Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero,Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero. Action: Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,,,Detected,,,,"20897 Three Oaks Parkway, Estero, FL","20897 Three Oaks Parkway, Estero, FL",26.436576930078,-81.784532881242,1.0,TD/CS,01242024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01242024%20minutes.pdf,AgendaItemLocation
Architectural Services for PreK-8 School on Three Oaks Parkway,Village Council,Regular Meeting,Village Council,2021-09-22,2021-09-22,2021,Accepted,741,8,Contract Approval,Architectural Services for PreK-8 School on Three Oaks Parkway,"Architectural Services for PreK-8 School on Three Oaks Parkway. Action: Approved a contract, via a piggybacking of the School District's bid, with Harvard Jolly Architecture in the amount of $98,000 to provide architectural and engineering services for additional athletic facilities at the proposed new School District of Lee County PreK-8 School on Three Oaks Parkway, approve a contingency fund amount of $9,800 (an amount equal to 10% of the total project cos","Approved a contract, via a piggybacking of the School District's bid, with Harvard Jolly Architecture in the amount of $98,000 to provide architectural and engineering services for additional athletic facilities at the proposed new School District of Lee County PreK-8 School on Three Oaks Parkway, approve a contingency fund amount of $9,800 (an amount equal to 10% of the total project cos","Approved a contract, via a piggybacking of the School District's bid, with Harvard Jolly Architecture in the amount of $98,000 to provide architectural and engineering services for additional athletic facilities at the proposed new School District of Lee County PreK-8 School on Three Oaks Parkway, approve a contingency fund amount of $9,800 (an amount equal to 10% of the total project cos","Approved a contract, via a piggybacking of the School District's bid, with Harvard Jolly Architecture in the amount of $98,000 to provide architectural and engineering services for additional athletic facilities at the proposed new School District of Lee County PreK-8 School on Three Oaks Parkway, approve a contingency fund amount of $9,800 (an amount equal to 10% of the total project cos",,,Detected,,,,"20897 Three Oaks Parkway, Estero, FL","20897 Three Oaks Parkway, Estero, FL",26.436576930078,-81.784532881242,1.0,TD/CS,09222021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/09222021%20minutes.pdf,AgendaItemLocation
"Case No. DCI 2015-00009 Genova Ordinance No. 2016-08 An Ordinance of the Village Council of the Village ofEstero, Florida, Approving a Rezoning from Agricultural District (AG-2) and Commercial Planned Development District (CPD) to Estero Planned D...",Village Council,Regular Meeting,Village Council,2016-07-06,2016-07-06,2016,Accepted,117,3,Ordinance,"Case No. DCI 2015-00009 Genova Ordinance No. 2016-08 An Ordinance of the Village Council of the Village ofEstero, Florida, Approving a Rezoning from Agricultural District (AG-2) and Commercial Planned Development District (CPD) to Estero Planned D...","Case No. DCI 2015-00009 Genova Ordinance No. 2016-08 An Ordinance of the Village Council of the Village ofEstero, Florida, Approving a Rezoning from Agricultural District (AG-2) and Commercial Planned Development District (CPD) to Estero Planned Developme. Action: Passed first reading and advanced Ordinance No. 2016-08 to second reading and public hearing on July 13, 20","Passed first reading and advanced Ordinance No. 2016-08 to second reading and public hearing on July 13, 20","Passed first reading and advanced Ordinance No. 2016-08 to second reading and public hearing on July 13, 20","Passed first reading and advanced Ordinance No. 2016-08 to second reading and public hearing on July 13, 20",,,Detected,,Ordinance No. 2016-08,,"21450 Strada Nuova Circle, Estero, FL","21450 Strada Nuova Circle, Estero, FL",26.428168875365,-81.804317441678,1.0,DR/GR,070616 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/070616%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"First Reading of Ordinance No. 2022-16 Genova Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Estero Planned Development Zoning Adopted by Ordinance 2016-08 For ""Genova"", for a3.6-Acre Property...",Village Council,Regular Meeting,Village Council,2022-10-19,2022-10-19,2022,Accepted,899,7,Ordinance,"First Reading of Ordinance No. 2022-16 Genova Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Estero Planned Development Zoning Adopted by Ordinance 2016-08 For ""Genova"", for a3.6-Acre Property...","First Reading of Ordinance No. 2022-16 Genova Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Estero Planned Development Zoning Adopted by Ordinance 2016-08 For ""Genova"", for a3.6-Acre Property Parcel . Action: Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 20","Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 20","Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 20","Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 20",,,Detected,,Ordinance No. 2022-16,,"21450 Strada Nuova Circle, Estero, FL","21450 Strada Nuova Circle, Estero, FL",26.428168875365,-81.804317441678,1.0,TD/CS,10192022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/10192022%20minutes.pdf,AgendaItemLocation
Second Reading and Public Hearing of Ordinance No. 2022-16 Genova Zoning Amendment No conflicts of interest were noted. Councilmember Fiesel and Vice Mayor McLain met with Brian Goguen and Steve Sammons to the listen to timeline of the whole devel...,Village Council,Regular Meeting,Village Council,2022-11-02,2022-11-02,2022,Accepted,911,8,Ordinance,Second Reading and Public Hearing of Ordinance No. 2022-16 Genova Zoning Amendment No conflicts of interest were noted. Councilmember Fiesel and Vice Mayor McLain met with Brian Goguen and Steve Sammons to the listen to timeline of the whole devel...,Second Reading and Public Hearing of Ordinance No. 2022-16 Genova Zoning Amendment No conflicts of interest were noted. Councilmember Fiesel and Vice Mayor McLain met with Brian Goguen and Steve Sammons to the listen to timeline of the whole development. . Action: Approved Ordinance No. 2022-16 with two changes; o ne to condition 8 regarding significant construction and the second to condition 7 to enhance the landscape along the linear park on Corkscrew Road with a bench on Via Coconut,Approved Ordinance No. 2022-16 with two changes; o ne to condition 8 regarding significant construction and the second to condition 7 to enhance the landscape along the linear park on Corkscrew Road with a bench on Via Coconut,Approved Ordinance No. 2022-16 with two changes; o ne to condition 8 regarding significant construction and the second to condition 7 to enhance the landscape along the linear park on Corkscrew Road with a bench on Via Coconut,Approved Ordinance No. 2022-16 with two changes; o ne to condition 8 regarding significant construction and the second to condition 7 to enhance the landscape along the linear park on Corkscrew Road with a bench on Via Coconut,,,Detected,Brian Goguen and Steve Sammons,Ordinance No. 2022-16,,"21450 Strada Nuova Circle, Estero, FL","21450 Strada Nuova Circle, Estero, FL",26.428168875365,-81.804317441678,1.0,TD/CS,11022022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/11022022%20minutes.pdf,AgendaItemLocation
"Case No. DCI2015-00016 Estero WAS First Reading: Ordinance No. 2016-02 A Zoning Ordinance of the Village Council of the Village of Estero, Florida; Rezoning 1.36 Acres Located at 21700 S. Tamiami Trail, from Mixed Planned Development to Commercial...",Village Council,Regular Meeting,Village Council,2016-02-24,2016-02-24,2016,Accepted,64,3,Ordinance,"Case No. DCI2015-00016 Estero WAS First Reading: Ordinance No. 2016-02 A Zoning Ordinance of the Village Council of the Village of Estero, Florida; Rezoning 1.36 Acres Located at 21700 S. Tamiami Trail, from Mixed Planned Development to Commercial...","Case No. DCI2015-00016 Estero WAS First Reading: Ordinance No. 2016-02 A Zoning Ordinance of the Village Council of the Village of Estero, Florida; Rezoning 1.36 Acres Located at 21700 S. Tamiami Trail, from Mixed Planned Development to Commercial Planned. Action: Approved first reading of Ordinance No. 2016",Approved first reading of Ordinance No. 2016,Approved first reading of Ordinance No. 2016,Approved first reading of Ordinance No. 2016,,,Detected,,Ordinance No. 2016-02,,21700 S. Tamiami Trail,"21700 S. Tamiami Trail, Estero, FL",26.425251721603,-81.811717237258,1.0,,02242016 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/02242016%20minutes.pdf,AgendaItemLocation
"Case No. DCI2015-00016 Estero WAS First Reading: Ordinance No. 2016-02 A Zoning Ordinance of the Village Council of the Village of Estero, Florida; Rezoning 1.36 Acres Located at 21700 S. Tamiami Trail, from Mixed Planned Development to Commercial...",Village Council,Regular Meeting,Village Council,2016-02-24,2016-02-24,2016,Accepted,65,4,Vote,"Case No. DCI2015-00016 Estero WAS First Reading: Ordinance No. 2016-02 A Zoning Ordinance of the Village Council of the Village of Estero, Florida; Rezoning 1.36 Acres Located at 21700 S. Tamiami Trail, from Mixed Planned Development to Commercial...","Case No. DCI2015-00016 Estero WAS First Reading: Ordinance No. 2016-02 A Zoning Ordinance of the Village Council of the Village of Estero, Florida; Rezoning 1.36 Acres Located at 21700 S. Tamiami Trail, from Mixed Planned Development to Commercial Planned. Action: Authorized the Mayor to sign the letter",Authorized the Mayor to sign the letter,Authorized the Mayor to sign the letter,Authorized the Mayor to sign the letter,,,Unanimous,,Ordinance No. 2016-02,,21700 S. Tamiami Trail,"21700 S. Tamiami Trail, Estero, FL",26.425251721603,-81.811717237258,1.0,,02242016 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/02242016%20minutes.pdf,AgendaItemLocation
"Case No. DCI2015-00016 Estero WAS Second Reading and Public Hearing: Ordinance No. 2016-02 A Zoning Ordinance of the Village Council of the Village of Estero, Florida; Rezoning 1.36 Acres Located at 21700 S. Tamiami Trail, from Mixed Planned Devel...",Village Council,Zoning Hearing,Public Hearing,2016-03-09,2016-03-09,2016,Accepted,68,1,Vote,"Case No. DCI2015-00016 Estero WAS Second Reading and Public Hearing: Ordinance No. 2016-02 A Zoning Ordinance of the Village Council of the Village of Estero, Florida; Rezoning 1.36 Acres Located at 21700 S. Tamiami Trail, from Mixed Planned Devel...","Case No. DCI2015-00016 Estero WAS Second Reading and Public Hearing: Ordinance No. 2016-02 A Zoning Ordinance of the Village Council of the Village of Estero, Florida; Rezoning 1.36 Acres Located at 21700 S. Tamiami Trail, from Mixed Planned Development t. Action: Approved continuing to a date certain, March 23, 20","Approved continuing to a date certain, March 23, 20","Approved continuing to a date certain, March 23, 20","Approved continuing to a date certain, March 23, 20",,,Detected,,Ordinance No. 2016-02,,21700 S. Tamiami Trail,"21700 S. Tamiami Trail, Estero, FL",26.425251721603,-81.811717237258,1.0,DA/MI,030916 Zoning Hearing Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/030916%20Zoning%20Hearing%20Approved%20Minutes.pdf,AgendaItemLocation
