item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at
254,79,3,Consent Agenda,,,"Financial Report for January 31, 2017",,,"Financial Report for January 31, 2017. Action: Approved the Consent Agenda",Approved the Consent Agenda,,Unanimous,
255,79,4,Contract Approval,CN 2016-02,,Stormwater Master Plan CN 2016-02 Consultant Agreement,,,"Stormwater Master Plan CN 2016-02 Consultant Agreement. Action: Approved the agreement with J .R. Evans Engineering for preparation of a Stormwater Master Plan for the Village, to be completed by approximately July 20","Approved the agreement with J .R. Evans Engineering for preparation of a Stormwater Master Plan for the Village, to be completed by approximately July 20",,Detected,
256,80,1,Discussion,,,APPROVAL OF AGENDA,,,APPROVAL OF AGENDA. Action: Approved the agenda,Approved the agenda,,Unanimous,
257,81,1,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda as amended",Approved the agenda as amended,,Unanimous,
258,81,2,Consent Agenda,,Bonita Springs Council Minutes,"Approval of February 28, 2017 Joint Workshop with Bonita Springs Council Minutes",,,"Approval of February 28, 2017 Joint Workshop with Bonita Springs Council Minutes. Action: Approved the Consent Agenda",Approved the Consent Agenda,,Unanimous,
259,81,3,Vote,,,Appointment of Liaison to SUN Trail Project,,,Appointment of Liaison to SUN Trail Project. Action: Approved support for the project and to continue fact finding,Approved support for the project and to continue fact finding,,Unanimous,
260,81,4,Unknown,,,Substitute,,,Substitute. Action: Appointment of a liaison was tabled,Appointment of a liaison was tabled,,Detected,
261,82,1,Administrative,Resolution No. 2017-09,,Resolution No. 2017-09 be pulled from the agenda for the time being; SB 10 was recently amended and was currently in flux with the legislature,,,"Resolution No. 2017-09 be pulled from the agenda for the time being; SB 10 was recently amended and was currently in flux with the legislature. Action: Approved the agenda as amended, pulling Agenda Item 10 ( c )","Approved the agenda as amended, pulling Agenda Item 10 ( c )",,Unanimous,
262,82,2,Consent Agenda,,,"Financial Report for February 28, 2017",,,"Financial Report for February 28, 2017. Action: Approved the Consent Agenda",Approved the Consent Agenda,,Unanimous,
263,82,3,Resolution,Resolution No. 2017-07,,"Resolution No. 2017-07 A Resolution of the Village Council of the Village Of Estero, Florida, Appointing Members to the Planning and Zoning Board; Establishing Terms; and Providing an Effective Date",,,"Resolution No. 2017-07 A Resolution of the Village Council of the Village Of Estero, Florida, Appointing Members to the Planning and Zoning Board; Establishing Terms; and Providing an Effective Date. Action: Amended the beginning date of the terms to April 1, 2017 and adopted Resolution No. 2017-07 as amended. Village Council Meeting Final Action Agenda/Minutes -April 5, 2017 Page 3 of7","Amended the beginning date of the terms to April 1, 2017 and adopted Resolution No. 2017-07 as amended. Village Council Meeting Final Action Agenda/Minutes -April 5, 2017 Page 3 of7",,Unanimous,
264,82,4,Unknown,Resolution No. 2017-08,,"Resolution No. 2017-08 A Resolution of the Village Council of the Village Of Estero, Florida, Appointing Members to the Design Review Board; Establishing Terms; and Providing an Effective Date",,,"Resolution No. 2017-08 A Resolution of the Village Council of the Village Of Estero, Florida, Appointing Members to the Design Review Board; Establishing Terms; and Providing an Effective Date. Action: Amended the beginning date of the terms to April 1, 20","Amended the beginning date of the terms to April 1, 20",,,
265,82,5,Resolution,Resolution No. 2017-08,,"Resolution No. 2017-08 A Resolution of the Village Council of the Village Of Estero, Florida, Appointing Members to the Design Review Board; Establishing Terms; and Providing an Effective Date",,,"Resolution No. 2017-08 A Resolution of the Village Council of the Village Of Estero, Florida, Appointing Members to the Design Review Board; Establishing Terms; and Providing an Effective Date. Action: Adopted Resolution No. 2017-08 as amended",Adopted Resolution No. 2017-08 as amended,,Unanimous,
266,83,1,Vote,,,to immediately follow agenda item 5,,,to immediately follow agenda item 5. Action: Approved the agenda as revised,Approved the agenda as revised,,Unanimous,
267,83,2,Consent Agenda,,,"Approval of April 5, 2017 Council Meeting Minutes",,,"Approval of April 5, 2017 Council Meeting Minutes. Action: Approved the Consent Agenda",Approved the Consent Agenda,,Unanimous,
268,83,3,Unknown,,,"Presentation of FY 2015-2016 Audit Report-Marty Redovan and Rob Willems, CliftonLarsonAllen LLP Marty Redovan provided an overview of the results of the audit, indicating that they have issued an unmodified (""clean') opinion on the Village's financial sta",,,"Presentation of FY 2015-2016 Audit Report-Marty Redovan and Rob Willems, CliftonLarsonAllen LLP Marty Redovan provided an overview of the results of the audit, indicating that they have issued an unmodified (""clean') opinion on the Village's financial sta. Action: Accepted the audit report",Accepted the audit report,,Unanimous,
269,83,4,Unknown,,,Planning and Zoning Board Applicant Interviews and Appointment of Board Member The following individuals were interviewed: Amy Wicks James Gilmartin Robert King Mark Novitski Greg Toth Emery Viazanko Dell Jones Questions of applicants included: previous a,,,Planning and Zoning Board Applicant Interviews and Appointment of Board Member The following individuals were interviewed: Amy Wicks James Gilmartin Robert King Mark Novitski Greg Toth Emery Viazanko Dell Jones Questions of applicants included: previous a. Action: Appointed Robert King to fill the unexpired term of Ned Dewhirst; term expiration date of3/31/20,Appointed Robert King to fill the unexpired term of Ned Dewhirst; term expiration date of3/31/20,,,
270,83,5,Resolution,Resolution No. 2017-10,,"Resolution No. 2017-10 A Resolution of the Village Council of the Village of Estero, Florida, Approving the Vacation of Part of a Drainage Easement for the Estero Veterinary Clinic; and Providing an Effective Date",,,"Resolution No. 2017-10 A Resolution of the Village Council of the Village of Estero, Florida, Approving the Vacation of Part of a Drainage Easement for the Estero Veterinary Clinic; and Providing an Effective Date. Action: Approved the vacation of part of a drainage easement for Estero Veterinary Clinic and adopted Resolution No. 2017",Approved the vacation of part of a drainage easement for Estero Veterinary Clinic and adopted Resolution No. 2017,,Detected,
271,83,6,Vote,,,Estero River Boating Committee Reimbursement Request,,Estero River,"Estero River Boating Committee Reimbursement Request. Action: Approved the request for reimbursement in the amount of $2,869","Approved the request for reimbursement in the amount of $2,869",,Detected,
272,83,7,Contract Approval,,,Office Space Acquisition,,,Office Space Acquisition. Action: Supported Option B and the lease agreement will be brought back to the next Council meeting,Supported Option B and the lease agreement will be brought back to the next Council meeting,,Unanimous,
273,85,1,Vote,,,due to the letter ofresignation received from Councilmember Brown,,,"due to the letter ofresignation received from Councilmember Brown. Action: Approved the agenda as revised, adding agenda item 5 (e)","Approved the agenda as revised, adding agenda item 5 (e)",,Unanimous,
274,85,2,Consent Agenda,,,"Financial Report for March 31, 2017",,,"Financial Report for March 31, 2017. Action: Approved the Consent Agenda",Approved the Consent Agenda,,Unanimous,
275,85,3,Vote,,,Proposed Lease Amendment,,,Proposed Lease Amendment. Action: Approved the proposed lease amendment,Approved the proposed lease amendment,,Unanimous,
276,85,4,Vote,,,Liaison Assignments to Outside Organizations and Areas of Strategic Concern,,,Liaison Assignments to Outside Organizations and Areas of Strategic Concern. Action: Adopted the Village Council Liaison Assignments and Areas of Strategic Concern as revised,Adopted the Village Council Liaison Assignments and Areas of Strategic Concern as revised,,Unanimous,
277,85,5,Resolution,Resolution No. 2017-11,Indoor Parking Provided U,"Fee Reduction as an Incentive in Village Center Resolution No. 2017-11 A Resolution of the Village Council of the Village of Estero, Florida, Amending Building Fees for the Review of Commercial Projects in the Village Center with Indoor Parking Provided U",,,"Fee Reduction as an Incentive in Village Center Resolution No. 2017-11 A Resolution of the Village Council of the Village of Estero, Florida, Amending Building Fees for the Review of Commercial Projects in the Village Center with Indoor Parking Provided U. Action: Adopted Resolution No. 2017-11, as amended","Adopted Resolution No. 2017-11, as amended",,Unanimous,
278,85,6,Vote,,Zoning Conditions of Resolution Z-14-028,Estero Grande Project- Review of Pattern Book for Compliance with Zoning Conditions of Resolution Z-14-028,,,"Estero Grande Project- Review of Pattern Book for Compliance with Zoning Conditions of Resolution Z-14-028. Action: Continued the agenda item to May 31, 20","Continued the agenda item to May 31, 20",,Detected,
279,85,7,Unknown,,,District 3 Councilmember Donald Brown Resignation,3,,District 3 Councilmember Donald Brown Resignation. Action: Accepted Councilmember Brown's resignation with regret,Accepted Councilmember Brown's resignation with regret,,Unanimous,
280,86,1,Vote,,,"Discussion regarding the requirement related to the petitioner providing any new evidence seven days prior to the Village Council meeting at which the petition is to be considered for inclusion with the Council agenda packets. Page 10, Sections 12 and 13 ",,,"Discussion regarding the requirement related to the petitioner providing any new evidence seven days prior to the Village Council meeting at which the petition is to be considered for inclusion with the Council agenda packets. Page 10, Sections 12 and 13 . Action: Motion died due to substitute motion. Substitute",Motion died due to substitute motion. Substitute,,Detected,
281,86,2,Unknown,,,"Discussion regarding the requirement related to the petitioner providing any new evidence seven days prior to the Village Council meeting at which the petition is to be considered for inclusion with the Council agenda packets. Page 10, Sections 12 and 13 ",,,"Discussion regarding the requirement related to the petitioner providing any new evidence seven days prior to the Village Council meeting at which the petition is to be considered for inclusion with the Council agenda packets. Page 10, Sections 12 and 13 . Action: Section 13",Section 13,,,
282,86,3,Vote,,,"was revised to read: ""The Mayor shall also serve as the ceremonial head of the Village. Except as specifically set forth above, there is no inherent or apparent power by virtue of a person holding the office of Mayor or Vice Mayor.""",,,"was revised to read: ""The Mayor shall also serve as the ceremonial head of the Village. Except as specifically set forth above, there is no inherent or apparent power by virtue of a person holding the office of Mayor or Vice Mayor."". Action: Motion failed due to tie vote",Motion failed due to tie vote,,Detected,
283,86,4,Unknown,,,"be revised to read: ""When a liaison is appointed, or when the Council appoints a spokesperson, on any issue, such questions to the Village with respect to such issue shall, where possible, be referred to such liaison or spokesperson.""",,,"be revised to read: ""When a liaison is appointed, or when the Council appoints a spokesperson, on any issue, such questions to the Village with respect to such issue shall, where possible, be referred to such liaison or spokesperson."". Action: Revised the first sentence in Section 13",Revised the first sentence in Section 13,,,
284,86,5,Unknown,,,"in the Rules of Procedure. Motion by: Councilmember Batos Seconded by: Mayor Boesch Village Council Organizational Business Meeting Final Action Agenda/Minutes - May 15, 2017",,,"in the Rules of Procedure. Motion by: Councilmember Batos Seconded by: Mayor Boesch Village Council Organizational Business Meeting Final Action Agenda/Minutes - May 15, 2017. Action: Accepted the wording in Section",Accepted the wording in Section,,,
285,86,6,Unknown,,,related to election of Mayor and Vice Mayor on a rotational basis. Amendment to,,,related to election of Mayor and Vice Mayor on a rotational basis. Amendment to. Action: Included Section 13,Included Section 13,,,
286,87,1,Vote,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda",Approved the agenda,,Unanimous,
287,87,2,Consent Agenda,,,"Approval of April 24, 2017 Council Meeting Minutes",,,"Approval of April 24, 2017 Council Meeting Minutes. Action: Approved the Consent Agenda",Approved the Consent Agenda,,Unanimous,
288,87,3,Ordinance,Ordinance No. 2017-06,,"Ordinance No. 2017-06 An Ordinance of the Village Council of the Village of Estero, Florida, Amending Lee County Zoning Resolution Z-14-028 for the Mixed Use Planned Development Known as Estero Grande, Being Approximately 29.6 Acres Located Generally West",,,"Ordinance No. 2017-06 An Ordinance of the Village Council of the Village of Estero, Florida, Amending Lee County Zoning Resolution Z-14-028 for the Mixed Use Planned Development Known as Estero Grande, Being Approximately 29.6 Acres Located Generally West. Action: Passed Ordinance No. 2017-06 for first reading",Passed Ordinance No. 2017-06 for first reading,,Detected,
289,87,4,Ordinance,Ordinance No. 2017-03,,"Ordinance No. 2017-03 An Ordinance of the Village Council of the Village of Estero, Florida, Establishing a Bonus Density Program for Certain Properties Which Contribute Funds to Purchase Public Lands; Providing for Purpose, Applicability, Definitions, Mi",,,"Ordinance No. 2017-03 An Ordinance of the Village Council of the Village of Estero, Florida, Establishing a Bonus Density Program for Certain Properties Which Contribute Funds to Purchase Public Lands; Providing for Purpose, Applicability, Definitions, Mi. Action: Passed Ordinance No. 2017-03 for first reading",Passed Ordinance No. 2017-03 for first reading,,Unanimous,
290,87,5,Vote,,,Estero Life Magazine 3-Month Trial Period for Full-Page Articles,,,"Estero Life Magazine 3-Month Trial Period for Full-Page Articles. Action: Approved a3-month trial period to place full-page articles in Estero Life Magazine, beginning with the July 2017 issue","Approved a3-month trial period to place full-page articles in Estero Life Magazine, beginning with the July 2017 issue",,Unanimous,
291,88,1,Vote,Ordinance No. 2017-05,,"Rezoning for Estero Crossing First Reading and Public Hearing Ordinance No. 2017-05 An Ordinance of the Village Council of the Village of Estero, Florida, (Approving with Conditions) (Denying) a Rezoning from Commercial Planned Development to Mixed Use Pl",,,"Rezoning for Estero Crossing First Reading and Public Hearing Ordinance No. 2017-05 An Ordinance of the Village Council of the Village of Estero, Florida, (Approving with Conditions) (Denying) a Rezoning from Commercial Planned Development to Mixed Use Pl. Action: Continued the request to a time uncertain",Continued the request to a time uncertain,,Unanimous,
292,89,1,Vote,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda",Approved the agenda,,Unanimous,
293,89,2,Ordinance,Ordinance No. 2017-06,,"SECOND READING AND PUBLIC HEARING: Ordinance No. 2017-06 An Ordinance of the Village Council of the Village of Estero, Florida, Amending Lee County Zoning Resolution Z-14-028 for the Mixed Use Planned Development Known as Estero Grande, Being Approximatel",,,"SECOND READING AND PUBLIC HEARING: Ordinance No. 2017-06 An Ordinance of the Village Council of the Village of Estero, Florida, Amending Lee County Zoning Resolution Z-14-028 for the Mixed Use Planned Development Known as Estero Grande, Being Approximatel. Action: Passed second reading of Ordinance No. 2017",Passed second reading of Ordinance No. 2017,,Detected,
294,90,1,Vote,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda",Approved the agenda,,Unanimous,
295,90,2,Consent Agenda,,,"Financial Report for April 30, 2017",,,"Financial Report for April 30, 2017. Action: Approved the Consent Agenda",Approved the Consent Agenda,,Unanimous,
